,male,female,white,black,native,asian,aapi,hispanic,non-hispanic white,income,less than 10k,10-15k,15-25,25-35,35-50,50-75k,75-100,100-150,150-200,200+,pct below PL,HH size,hs,college,rentals,owner-occupied,pop,over_18,over_65,employed,in civilian labor force,20-24,25-34,35-44,45-54,55-59,60-64,65-74,75-84,85+,County
"Crosby County, Texas: Summary level: 050, state:48> county:107",48.3,51.7,88.9,4.2,0.0,0.0,0.3,53.5,41.6,2208,8.7,7.1,14.5,13.9,17.9,18.1,9.7,5.8,2.2,2.2,19.5,2.68,70.1,11.6,35.6,64.4,6025,72.1,18.0,54.7,61.1,6.3,10.3,10.5,12.7,6.8,5.1,9.9,5.7,2.4,Crosby
"Fisher County, Texas: Summary level: 050, state:48> county:151",48.1,51.9,89.6,3.2,0.4,0.4,0.1,27.6,68.0,1619,5.9,6.6,12.4,13.3,17.1,24.3,10.0,8.3,0.9,1.2,11.0,2.37,81.8,14.1,26.8,73.2,3882,79.1,22.8,56.6,60.3,6.9,9.2,10.8,11.5,9.0,5.5,11.8,8.0,3.0,Fisher
"Duval County, Texas: Summary level: 050, state:48> county:131",52.3,47.7,86.0,0.9,0.5,0.4,0.0,88.5,10.2,3920,12.2,7.6,22.5,10.5,11.2,12.3,8.7,7.0,3.6,4.3,20.9,2.82,65.0,7.0,28.9,71.1,11644,75.5,17.0,46.3,52.0,8.7,11.8,11.7,13.0,5.6,4.7,9.5,6.3,1.2,Duval
"Blanco County, Texas: Summary level: 050, state:48> county:031",50.3,49.7,93.7,1.2,0.9,0.6,0.0,18.8,78.4,4086,5.3,3.7,9.8,13.0,16.4,14.4,14.3,15.0,4.4,3.7,6.1,2.57,88.2,27.9,21.9,78.1,10625,79.6,19.9,54.4,59.3,3.5,8.9,11.6,15.5,5.7,12.4,12.2,6.0,1.7,Blanco
"Jasper County, Texas: Summary level: 050, state:48> county:241",49.1,50.9,79.5,16.6,0.4,0.5,0.0,6.2,75.0,12511,9.5,8.3,16.1,11.6,13.4,15.4,12.4,9.6,2.7,1.0,13.2,2.79,83.6,10.3,22.3,77.7,35826,75.2,17.1,43.9,50.6,5.3,11.2,11.6,13.7,7.0,6.7,9.9,5.7,1.5,Jasper
"Jefferson County, Texas: Summary level: 050, state:48> county:245",51.1,48.9,57.6,33.5,0.3,3.6,0.0,18.1,43.4,92771,11.0,7.1,13.2,11.5,13.8,17.1,9.2,10.6,3.5,3.1,17.7,2.55,82.9,18.0,36.3,63.7,252466,76.2,13.0,51.2,57.1,7.6,14.5,12.4,13.9,6.5,5.5,6.8,4.4,1.8,Jefferson
"Kinney County, Texas: Summary level: 050, state:48> county:271",54.6,45.4,97.0,1.4,0.9,0.0,0.0,61.6,37.1,1157,11.0,10.2,15.1,13.9,16.2,15.9,12.1,4.9,0.7,0.0,16.4,2.87,69.2,13.2,17.2,82.8,3598,77.7,14.8,39.7,46.9,4.6,13.3,9.0,16.0,7.8,9.9,7.8,5.6,1.3,Kinney
"Oldham County, Texas: Summary level: 050, state:48> county:359",53.4,46.6,84.6,7.1,1.3,1.4,0.4,12.1,74.3,643,7.5,8.4,14.9,6.4,11.7,15.6,9.0,12.3,9.3,5.0,11.1,2.49,82.4,30.3,24.3,75.7,2068,66.7,14.4,49.6,55.1,6.1,10.1,9.5,11.5,6.8,5.8,7.7,4.4,2.2,Oldham
"Lamb County, Texas: Summary level: 050, state:48> county:279",50.6,49.4,88.3,4.6,0.5,0.1,0.0,53.1,41.6,4784,9.0,8.9,15.3,13.0,17.4,17.3,6.6,7.4,2.4,2.7,18.6,2.85,70.9,14.1,30.0,70.0,13875,70.9,16.0,55.1,60.4,5.9,11.6,11.1,12.6,5.1,6.0,8.0,5.7,2.3,Lamb
"Lipscomb County, Texas: Summary level: 050, state:48> county:295",53.4,46.6,87.2,0.5,1.7,0.6,0.1,26.9,69.1,1173,4.3,6.1,7.8,10.8,11.8,21.2,13.6,14.8,5.5,4.1,6.3,2.88,82.2,21.1,28.4,71.6,3418,72.5,13.3,62.9,65.4,5.4,13.5,10.7,15.0,5.7,5.6,7.0,5.1,1.3,Lipscomb
"McCulloch County, Texas: Summary level: 050, state:48> county:307",48.8,51.2,90.1,1.3,3.2,0.0,0.0,30.6,66.0,3055,6.5,8.9,14.7,11.2,16.0,19.1,10.5,9.7,1.9,1.6,14.9,2.65,78.6,15.7,21.5,78.5,8245,75.4,19.1,56.3,59.1,3.3,11.6,11.4,12.4,6.8,9.5,10.3,7.4,1.4,McCulloch
"Mason County, Texas: Summary level: 050, state:48> county:319",52.3,47.7,93.5,0.0,0.2,3.2,0.0,24.2,72.4,1678,6.9,7.9,10.0,10.7,18.8,18.9,9.0,8.2,5.7,3.9,7.4,2.42,84.8,24.1,17.9,82.1,4061,81.4,28.5,55.7,59.8,5.8,9.2,10.3,12.4,9.4,5.7,17.9,9.1,1.5,Mason
