County,2018_Rep_Gov,2018_Rep_Sen,2018_Dem_Sen,2018_Dem_Gov,2018_Dem_Gov_Runoff,2016_Rep_Pres,2016_Dem_Pres,2014_Rep_Sen,2014_Rep_Gov,2014_Dem_Sen,2014_Dem_Gov,2014_Dem_Sen_Runoff,2012_Rep_Pres,2012_Rep_Sen,2012_Dem_Pres,2012_Dem_Sen,2012_Dem_Sen_Runoff,2010_Rep_Gov,2010_Dem_Gov,2008_Rep_Pres,2008_Rep_Sen,2008_Dem_Pres,2008_Dem_Sen,2006_Rep_Sen,2006_Rep_Gov,2006_Dem_Sen,2006_Dem_Gov,2006_Sen_Dem_Runoff,2004_Rep_Pres,2004_Dem_Pres,2002_Rep_Sen,2002_Rep_Gov,2002_Dem_Sen,2002_Dem_Gov,2002_Dem_Sen_Runoff,2000_Rep_Pres,2000_Rep_Sen,2000_Dem_Pres,2000_Dem_Sen,2000_Dem_Sen_Runoff,1998_Rep_Gov,1998_Dem_Gov,1996_Rep_Pres,1996_Rep_Sen,1996_Dem_Pres,1996_Dem_Sen,1996_Dem_Sen_Runoff,1994_Rep_Sen,1994_Rep_Gov,1994_Dem_Sen,1994_Dem_Gov,1994_Dem_Sen_Runoff,1992_Rep_Pres,1992_Dem_Pres
JEFF DAVIS,24.2,24.37,14.96,14,7.27,32.48,17.71,13.4,13.71,18.5,24.86,5.46,12.46,11.62,25.95,20.04,14.39,21.13,11.86,11.51,10.14,39,28.75,2.82,3.12,19.87,20.22,3.76,7.7,28.96,1.49,1.6,28.43,30.89,33.92,9.31,8.87,23.52,15.72,9.81,5.21,5.66,13.97,10.91,20.5,20.01,4.31,0,0,43.84,47,36.26,0,34.71
JEFFERSON,5.04,5.04,7.49,7.35,6.42,13.11,14.88,7.22,7.32,6.65,7.4,4.83,8.06,7.75,10.04,8.2,1.01,6.2,11.52,5.2,4.22,29.04,17.97,1.55,1.7,13.25,13.59,6.22,2.9,13.99,2.07,2.12,13.72,14.36,6.04,5.56,4.87,8.54,5.69,0.6,2.88,7.37,5.32,4.95,17.28,15.11,4.42,3.14,3.15,20.62,20.71,10.31,4.82,21
JIM HOGG,0.1,0.1,31.23,29.63,4.05,1.09,49.26,0.26,0.26,42.36,40.96,11.94,0.27,0.27,45.6,36.71,9.11,0.41,51.42,0.31,0.26,58.61,51.8,0.18,0.18,49.87,49.31,49.57,0.21,51.23,0.16,0.18,51.01,56.64,55.93,0.37,0.37,52,43.61,49.84,0.4,39.17,0.97,0.94,36.14,34.31,15.76,0.49,0.49,56.5,57.98,60.95,0.84,50.62
JIM WELLS,3.16,3.14,16.65,15.88,10.91,8.23,25.52,2.19,2.22,15.97,16.77,16.15,3.47,3.37,19.42,15.97,3.49,3.26,18.73,1.71,1.52,37.7,32.45,1.03,1.08,17.67,17.71,7.7,1.66,29.1,0.69,0.71,27.55,30.22,27.5,1.45,1.37,29.49,23.77,24.8,0.55,16.49,1.56,1.53,27.45,26.54,18.56,0.85,0.84,30.45,30.55,36.5,1.32,30.85
JOHNSON,13.13,13.11,2.8,2.76,1.02,29.38,4.51,13.99,14.32,1.47,1.56,0.37,13.49,13.28,1.16,1.09,0.37,16.87,1.69,13.42,11.96,9.08,7.19,7.61,8.04,1.29,1.31,0.3,10,3.1,8.09,8.48,3.02,3.02,1.55,12.08,11.12,2.32,2.06,0.09,5.04,1.91,9.52,9.11,4.51,4.65,1.73,4.27,4.28,8.5,8.49,6.93,7.94,19.28
JONES,17.5,17.48,1.41,1.41,0.59,34.46,2.79,16.58,17.31,1.38,1.41,0.44,10.65,10.31,1.43,1.43,0.45,15.49,3.98,10.98,9.06,20.47,14.69,2.53,2.59,2.76,2.82,0.48,2.1,5.35,1.5,1.45,18.12,19.53,15.25,2.91,2.72,25.05,19.39,16.86,1.87,5.12,3.75,3.66,22.65,23.4,21.91,2.28,2.28,33.16,33.05,26.17,3.76,27.83
KARNES,13.23,13.06,5.59,5.56,4.5,15.77,17.76,4.32,4.29,15.89,18.09,6.87,4.21,4.12,22.79,20.01,25.52,8.51,23.03,3.47,3.13,36.72,30.72,1.94,2,12.26,12.19,1.43,1.2,26.04,1.27,1.21,29.27,31.42,26.16,2.61,2.4,23.66,20.05,7.78,0.88,21.16,2.54,2.45,33.39,33.54,28.61,3.54,3.48,33.84,33.2,19.76,0,43.25
KAUFMAN,17.14,17.06,3.42,3.46,1.24,27.93,5.09,15.02,15.48,1.79,1.97,0.51,15.02,14.75,1.59,1.54,0.53,18.35,2.29,14.91,13.25,17.94,13.4,10.36,11.15,1.5,1.51,0.31,6.32,4.58,6.11,6.39,6.14,6.02,4.3,12.99,11.5,4.93,3.68,0.17,4.44,4.02,8.16,8.14,13.37,13.84,5.94,3.46,3.34,10.27,10.08,9.02,6.51,19.24
KENDALL,23.14,23.63,3.38,3.25,1.91,37.09,4.15,22.43,22.71,1.21,1.26,0.49,27.59,26.35,1.21,1.06,0.42,25.89,1.7,28.04,25.55,12.88,9.15,19.13,19.71,1.19,1.2,0.45,19.9,2.17,16.82,17.22,2.03,2.1,0.9,29.42,25.83,1.4,1.21,0.26,18.7,0.92,35.34,34.37,2.13,2.01,0.75,22.59,22.92,2.63,2.62,1.8,37.51,4.08
KENEDY,1.89,2.21,36.28,34.07,14.51,6.03,33.65,4.82,5.12,16.87,17.77,14.76,4.9,4.9,39.78,31.06,4.9,2.78,38.61,3.04,2.43,56.23,37.69,4.57,4.29,31.43,29.14,25.14,3.12,29.18,0.76,0.76,36.87,42.68,5.05,0.53,0.53,41.64,29.18,11.67,0.59,16.57,1.26,1.26,56.47,47.95,41.64,0.74,0.74,47.97,49.08,30.63,1.34,47.45
KENT,27.91,26.91,3.16,3.49,2.33,38.21,9.97,16.72,17.7,21.15,24.43,1.8,12.24,12.08,10.49,10.81,3.97,8.41,27.3,0,0,37.59,26.77,0.84,0.84,18.4,17.7,5.62,0.5,40.95,0.51,0.51,50.7,54,33.67,0.85,0.73,43.08,33.25,38.96,0.59,26.84,0.12,0.12,49.63,46.15,48.39,0,0,64.76,63.39,59.28,0.26,66.62
KERR,21.48,21.31,4.58,4.46,2.6,37.6,5.29,26.68,27.43,1.61,1.8,0.75,27.48,26.15,1.42,1.33,0.5,24.93,2.33,26.21,24.03,13.79,11.9,14.33,14.81,1.33,1.34,0.42,20.24,3.27,14.95,14.86,2.77,2.82,1.24,28.01,24.76,2.26,1.93,0.22,17.58,1.75,38.74,37.7,2.95,2.82,0.59,25.34,25.16,3.45,3.4,2.29,32,6.36
KIMBLE,29.89,29.54,1.9,1.83,0.21,39.43,2.29,36.66,38.06,0,0,0,45.98,41.74,0,0,0,47.69,0.95,34.15,29.12,9.79,7.62,4.14,4.18,1.3,1.47,0.42,23.07,4.81,4.2,4.3,14.76,16.06,2.1,11.02,10.35,7.65,5.58,0.11,6.84,3.73,7.77,7.15,24,24.08,3.4,9.41,9.45,13.03,12.8,6.56,6.09,21.78
KING,33.33,33.33,0.56,1.13,0,61.5,1.6,36.9,40.64,0,1.07,0.53,29.51,24.04,3.83,3.83,1.64,27.23,7.92,9.76,6.83,40.98,22.93,2.78,1.85,25.93,26.85,7.41,19.91,27.01,3.27,2.8,43.93,44.39,54.67,5.85,5.37,38.54,30.73,3.41,0.45,26.13,2.44,2.03,44.31,48.37,6.91,0,0,41.63,40.72,18.1,0,58.48
KINNEY,28.61,14.66,7.2,7.15,3.95,23.14,15.74,13.78,14.44,15.07,18.28,3.39,10.47,10.05,19.28,15.33,3.66,13.07,25.35,8.59,7.77,41.69,32.89,1.31,1.31,30.02,29.05,31.28,0,18.22,1.96,1.96,33.29,37.94,34.17,6.21,5.75,29.25,21.27,9.68,1.26,23.68,6.41,6.22,24.69,23.67,3.23,0,0,47.94,50.23,48.55,5.18,38.29
KLEBERG,7.54,7.42,9.39,8.92,5.2,13.07,14.38,5.11,5.22,10.41,12,0.98,7.54,7.4,10.82,9.41,3.56,5.22,18.6,4.6,4.14,33.02,28.46,1.99,2.09,21.04,20.25,9.73,1.26,22.2,1.12,1.1,18.76,19.91,11.43,4.77,4.29,17.36,14.12,4.87,0.79,14.21,3.1,2.97,26.95,27.77,23.57,1.66,1.63,25.57,25.71,17.45,3.42,31.87
KNOX,15.12,15.49,1.68,1.64,0.29,29.77,3.97,19.49,20.7,2.62,3.27,0.6,8.14,8.1,1.76,1.72,0.44,11.8,8.17,9.61,7.84,21.82,14.71,2.09,2.05,6.91,7.97,1.74,1.25,24.34,1.75,1.75,10.99,11.8,4.62,2.61,2.33,20.66,14.74,1.92,1.1,22.57,2.59,2.56,22.6,23.41,14.63,1.56,1.56,43.68,45.34,20.81,1.67,40.09
LAMAR,16.22,16.14,2.78,2.71,0.91,33.88,4.47,18.45,18.87,1.94,2.08,0.57,24.04,22.93,2.14,2.02,0.73,15.69,6.93,7.7,6.91,29.76,23.87,2.93,3,9.07,9.11,2.78,4.46,18.41,2.6,2.64,12.54,12.61,5.79,6.1,5.66,18.02,14.75,7.2,3.12,9.26,4.11,4.04,23.97,28.12,20.63,2.27,2.3,20.34,20.39,14.64,2.88,31.69
LAMB,20.24,20.52,1.84,1.78,0.64,31.47,4.02,16.14,16.88,1.09,1.15,0.13,14.13,14.16,1.04,1.04,0.61,16.82,5.13,13.42,11.7,14.59,11.1,2.98,2.56,6.7,6.9,1.01,1.46,10.02,0.71,0.76,20.76,20.74,14.99,3.74,3.46,15.32,11.87,12.15,2.3,8.88,5.17,5,11.96,13.06,2.13,2.02,1.91,17.15,17.43,4.73,1.23,33.87
LAMPASAS,23.37,23.07,2.85,2.78,1.85,29.55,4.14,19.07,19.73,1.28,1.38,0.4,14.19,14.07,1.3,1.22,0.56,18.9,2.27,20.61,18.49,13.12,10.4,15.64,16.23,2.46,2.67,0.68,9.19,3.71,11.12,11.35,5.05,4.59,1.44,16.13,14.18,4.68,4.08,0.53,5.98,6.07,14.29,13.97,8.36,8.24,2.42,3.78,3.71,28.03,27.51,13.64,5.79,24.58
LASALLE,1.83,1.9,26.67,25.37,30.19,7.3,19.35,0,0,18.5,21.4,9.85,0,0,33.66,24.33,10.01,0,34.45,0,0,34.19,24.51,0,0,18.68,18.77,20.33,0.02,33.75,0,0,36.04,45.66,34.02,0,0,36.64,23.17,13.47,1.43,14.34,2.8,2.8,33.63,27.72,10.31,0,0,38.88,40.5,18.38,0,40.43
LAVACA,19.78,19.55,2.05,2.02,0.95,32.04,3.63,16.3,16.51,1.71,1.87,0.42,16.12,15.61,3.07,3.02,1.67,17.65,9.68,7.62,6.71,31.22,24.67,3.13,3.29,3.89,3.95,0.73,2.9,22.74,2.53,2.71,25.62,26.51,3.4,5.94,5.5,17.19,14.62,1.23,4.02,9.51,7.34,7.17,25.13,23.41,27.81,2.86,2.86,26.28,25.23,27.75,3.59,35.89
LEE,23.24,22.79,3.43,3.4,1.21,33.18,5.68,11.57,11.78,2.74,2.94,0.66,12.29,11.97,6.06,5.71,1.2,12.49,11.86,8.5,7.48,32.38,24.33,3.88,3.84,8.06,8.23,1.46,5.11,23.32,3.37,3.64,20.5,21.05,5.29,8.32,7.67,14.01,11.91,1.02,2.93,17.4,7.73,7.64,24.14,24.14,3.98,2.95,3.02,28.5,28.75,15.08,3.48,43.64
LEON,29.34,29.28,1.84,1.83,0.46,35.44,3.59,24.48,25.11,1.2,1.28,0.33,33.13,31.08,1.56,1.46,0.44,26.74,2.88,17.03,14.76,18.23,12.67,6.36,6.87,1.98,1.98,0.24,10.08,5.11,7.37,7.83,6.6,6.61,1.79,11.02,10.15,15.22,12.11,0.82,10.45,8.17,8.82,8.67,23.38,25.65,3.42,4.65,4.68,28.87,28.99,23.35,4.54,30.89
LIBERTY,18.54,18.36,2.15,2.18,0.38,28.73,3.53,15.89,16.1,1.29,1.37,0.29,18.19,18.08,1.59,1.44,0.39,13.96,5.33,8.08,7.24,19.31,15.6,1.93,2.06,7.43,7.86,3.03,2.46,9.45,2.72,2.75,14.72,14.67,8.66,6.5,5.93,13.72,12.1,4.2,2.42,9.42,5.72,5.58,12.49,12.27,2.34,2.56,2.59,23.16,23.26,13.53,3.77,24.6
LIMESTONE,20.92,20.96,2.43,2.38,1.04,28.58,5.68,16.72,17.35,2.3,2.44,0.42,15.81,15.41,2.77,2.54,0.6,13.72,7.39,8.28,7.45,27.49,20.63,3.07,3.21,10.55,10.47,10.64,3.46,17.54,4.86,5.08,10.03,9.9,7.21,4.46,4.16,26.09,21.19,22.11,2.43,13.3,3.72,3.67,30.74,33.93,6.61,1.59,1.57,28.95,29.16,31.76,3.38,29.62
LIPSCOMB,37.84,38.89,0.75,0.75,0.35,51.49,1.69,31.18,33.4,0.72,0.77,0.36,35.47,33.62,1.38,1.27,0.32,26.14,1.96,24.42,20.22,11.2,7.8,29.58,29.31,0.84,1,0.1,30.67,4.96,9.95,11.47,12.73,13.46,8.91,11.96,10.22,22.08,15.8,0.55,7.63,15.52,10.72,10.55,24.34,24.12,4.85,6.83,6.95,25.24,26.71,18.92,19.6,25.23
LIVE OAK,15.79,15.96,2.68,2.57,0.38,30.75,4.3,11.27,11.57,1.58,1.66,0.3,13.3,12.92,3.68,3.64,0.43,14.33,7.55,10.14,8.95,19.55,16.32,2.78,2.85,11.9,11.4,0.75,4.56,13.32,3.55,3.65,9.52,9.84,4.44,7.89,7.3,10.02,8.68,0.49,3.68,5.45,7.1,7.04,18.75,19.99,4.49,2.17,2.14,30.43,29.92,20.92,2.61,22.86
LLANO,26.96,26.59,4.4,4.3,2.25,40.9,5.54,28.42,28.71,2.93,3.17,1.68,27.43,26.98,2.27,2.12,0.83,27.91,3.62,31.84,29.02,14.79,11.53,17.77,18.01,1.3,1.38,0.81,16.58,5.84,13.63,13.68,6.38,6.45,2.29,21.23,19.89,5.07,4.49,0.28,18.63,7.14,26.73,26.36,15.59,15.53,3.59,20.68,20.68,20.53,20.2,21.5,20.26,33.45
LOVING,12.71,12.71,9.32,9.32,3.39,28.18,10.91,8.26,8.26,9.09,8.26,4.96,7.44,6.61,13.22,11.57,9.09,0,21.43,0,0,20.69,18.1,0,0,35.14,33.33,6.31,0,54.74,0,0,22.15,26.17,12.08,0,0,25.49,22.22,9.8,0.68,32.65,0.78,0.78,42.64,38.76,13.95,0,0,18.25,50,32.54,0,58.4
LUBBOCK,12.9,13.03,3.5,3.32,1.19,27.45,6.5,14.5,14.71,2.45,2.57,0.8,16.23,16.03,2.49,2.28,1.12,21.1,2.88,15.31,13.84,15.65,11.57,11.51,11.49,1.7,1.69,0.48,7.29,3.21,10.56,10.62,2.99,3.11,0.95,16.25,14.64,2.8,2.3,0.24,11.49,1.51,17.35,17.07,3.33,3.34,0.74,17.39,17.57,3.71,3.84,1.67,20.01,9.24
LYNN,25.14,25.34,0.26,0.26,0,36.64,0.64,26.06,27.17,0,0,0,15.58,15.42,0.13,0.13,0,13.58,4.93,11.84,10.4,16.41,12.53,0.88,0.83,14,12.99,6.95,0.41,18.62,0.88,0.86,22.92,24.35,0.95,2.58,2.29,18.92,25.52,0.09,0.84,8.04,2.24,2.16,16.64,25.47,2.31,1.11,1.11,30.87,31.82,26.36,1.02,39.9
MADISON,26.5,26.52,1.26,1.24,0.59,30.92,4.39,23.59,24.6,1.49,1.59,0.5,20.57,20.03,3.04,2.61,0.91,25.37,5.94,10.49,9.14,20.21,14.86,12.93,13.6,6.41,6.91,2.48,5.46,10.3,6.15,6.39,9.19,9.56,1.49,9.49,8.73,8.3,7.21,0.38,3.8,14.5,8.02,7.95,24.24,26.66,8.27,3.17,3.35,31.03,31.58,14.65,3.95,34.08
MARION,17.68,17.62,3.72,3.63,1.62,24.75,7.99,9.26,9.33,3.09,3.27,0.93,9.32,8.64,11.99,11.19,1.96,8.66,10.82,5.14,4.34,30.39,22.51,1.65,1.73,8.55,8.79,1.54,0.89,23.59,0.67,0.66,17.3,17.35,4.48,1.94,1.81,12.97,19.02,6.23,0.4,15.53,1.55,1.52,31.98,36.17,18.15,0.58,0.56,33.84,33.84,26.89,0.9,36.32
MARTIN,24.81,25,1.04,0.95,0.19,31.46,2.03,24.16,25.78,0.79,1.06,0.07,17.29,16.51,0.99,0.82,0.2,23.51,1.49,22.08,18.58,16.33,12.34,4,3.9,2.14,2.35,0.35,24.05,2.01,2.41,3.52,20.05,21.64,7.96,5.96,5.26,24.04,18.25,24.21,1.66,13.85,4.52,4.23,16,17.28,4.16,1.68,1.68,35.49,36.99,5.51,2.37,37.98
MASON,20.92,20.47,4.03,3.51,1.38,44.52,4.92,38.65,39,2.21,2.56,0.56,22.94,22.51,1.98,1.83,0.71,28.79,2.59,39.4,34.89,14.32,10.35,6.85,7.03,1.95,1.98,1.29,35.33,3.15,23.84,29.27,3.14,3.26,1.05,11.1,10.08,20.75,14.85,0.7,25.52,5.4,7.01,6.8,42.21,39.9,17.6,7.39,7.31,30.1,29.1,10.79,8.68,25.99
MATAGORDA,14.53,14.47,3.78,3.83,1.27,20.81,7.01,8.4,8.49,5.66,6.37,1.75,11.47,11.1,10.36,9.08,9.18,10.29,12.76,8.67,7.66,30.38,24.02,3.29,3.41,14.85,15.53,10.72,3.75,7.29,1.58,1.66,7.87,8,3.62,6.33,5.66,16.3,13.62,7.16,4.25,13.02,6.17,5.93,23.43,22.66,25.24,2.54,2.52,25.62,26.04,13.65,2.39,40.72
MAVERICK,0.35,0.36,20.64,20.42,21.6,1.49,21.19,0.28,0.28,13.75,13.46,8.28,0.23,0.22,23,17.21,19,0.22,20.7,0,0,36.84,28.45,0,0,17.39,16.9,3.71,0.04,26.67,0.06,0.06,27.43,32.25,27.69,0.41,0.36,24.95,19.03,17.57,0.13,17.79,0.59,0.59,30.22,26.09,7.96,0.54,0.52,20.29,22.19,11.81,0.94,26.39
MCCULLOCH,26.39,26.47,1.38,1.33,0.5,40.52,2.75,28.82,31.3,0,0,0,29.56,27.9,1.94,1.82,0.69,21.25,3.56,17.84,15.99,15.05,11.22,5.86,6.06,2.41,2.45,0.57,8.31,10.82,3.53,3.71,16.27,17.61,6.68,8.13,7.43,6.65,5.86,0.23,2.66,15.2,4.22,4.14,30.83,30.91,2.53,1.73,1.44,32.28,32.24,14.86,1.48,47.51
MCLENNAN,12.66,12.66,4.26,4.16,1.21,24.37,6.48,8.67,8.82,1.68,1.82,0.63,17.26,16.87,1.96,1.8,0.53,14.48,2.89,14.28,13.26,19.18,13.93,6.3,6.73,1.83,1.98,0.39,9.48,4.15,8.33,8.74,5.57,5.54,3.35,13.2,11.64,7.17,6.07,3.81,2.83,2.31,10.96,10.74,10.19,10.07,9.67,3.84,3.84,14.14,14.12,10.6,7.6,20.02
MCMULLEN,20.58,19.86,1.59,1.59,0,61.17,0.75,21.8,23.98,0,0,0,11.08,10.66,4.77,4.21,0.98,0,37.84,5.42,4.56,51.21,35.24,1.32,1.47,28.34,28.19,2.06,11.8,12.54,6.69,8.05,24.32,27.05,12.31,1.94,1.79,36.57,26.87,40.45,1.01,24.93,3.13,3.13,26.83,26.23,6.86,0,0,40.41,44.03,17.14,0,47.52
MEDINA,16.27,16.15,3.37,3.28,1.63,26.58,5.35,14.68,14.98,1.73,1.8,0.47,16.99,16.73,2.19,1.99,1.59,15.98,2.91,18.56,17.36,17.33,14.62,4.09,4.29,2.4,2.43,0.27,8.7,8.99,3.92,3.95,12.14,13.07,8.21,13,11.86,8.95,7.18,0.2,5.43,5,12.05,11.69,6.53,6.54,1.63,5.91,5.98,13.36,12.78,3.91,5.51,22.31
MENARD,36.33,36.53,1.32,1.39,0.9,40.62,2.78,31.17,32.37,1.07,1.41,0.13,30.45,27.83,1.28,1.1,0.06,18.6,2.14,19.66,16.66,16.55,11.47,24.25,24.63,4.42,4.15,0.16,17.35,15.95,16.08,20.1,8.8,10.65,1.14,13.91,12.56,12.33,8.82,1.3,3.58,16.27,5.23,5.17,27.32,26.52,6.65,2.68,2.62,42.51,44.09,11.45,1.68,43.22
MIDLAND,15.62,15.46,1.99,1.95,0.64,29.09,3.28,16.87,17.18,1.24,1.31,0.34,16.45,16.12,0.8,0.72,0.24,17.65,1.22,18.39,16.87,10.67,7.53,7.69,8.01,0.73,0.74,0.2,15.9,2.3,7.54,7.3,1.9,2.01,0.61,26.28,23.42,2.81,2.19,0.9,14.01,1.06,27.79,27.41,2.68,2.56,0.35,17.27,17.28,2.47,2.51,1.36,39.72,5.22
MILAM,21.14,21.28,4,3.98,1.01,29.05,5.96,17.34,17.84,2.6,2.81,0.76,21.13,20.07,3.48,3.19,1.19,11.82,11.26,5.07,4.56,34.11,25.45,2.07,2.3,5.92,6.07,0.58,2.64,17.55,3.04,3.02,12.14,12.34,3.8,5.22,4.73,27.37,21.48,4.76,2.41,14.88,4.57,4.5,29.36,29.67,10.52,2.54,2.54,23.26,22.74,17.98,3.71,36.87
MILLS,34.73,34.35,1.22,1.14,0.61,41.93,2.79,23.1,23.51,0,0,0,34.21,31.26,2.32,1.91,0.8,13.15,18.1,14.52,12.16,23.01,16.54,0.9,0.87,16.3,17.29,1.98,3.13,19.46,1.24,1.11,29.72,29.3,33.98,3.68,2.88,32.43,25.94,1.59,4.35,14.49,8.65,8.38,19.41,19.03,5.55,0.57,0.57,54.48,54.44,45.33,1.15,51.89
MITCHELL,19.63,19.43,1.63,1.69,0.45,27.68,3.36,15.43,16.32,0,0,0.52,9.13,8.93,2.56,2.49,0.82,10.24,10.9,7.43,6.35,22.82,17.69,5.73,5.46,4.33,4.33,1.14,4.4,7.24,2.38,2.7,7.73,8.39,2.42,5.44,4.9,10.46,10.08,1.43,1.58,8.88,2.1,1.95,29.58,29.71,10.75,1.02,1.04,34.78,34.48,9.03,1.55,42.05
MONTAGUE,21.26,20.93,1.24,1.26,0.46,37.93,2.18,21.63,22.76,0.7,0.8,0.11,28.13,25.82,1.15,1.05,0.23,27.62,2.33,17.33,14.71,18.75,14.09,2.97,3.17,7.19,7.35,0.41,4.41,14.28,2.47,2.63,12.71,13.05,2.73,6.09,5.77,10.43,8.47,0.4,1.88,8.66,4.38,4.13,18.95,19.62,5.88,1.32,1.31,32.25,31.77,24.96,1.05,33.58
MONTGOMERY,15.25,15.28,3.03,2.99,0.91,30.96,4.33,15.12,15.65,0.86,0.93,0.34,17.95,17.56,0.98,0.92,0.32,16.74,1.85,18.11,16.1,13.6,9.72,8.13,8.98,0.81,0.84,0.25,11.58,1.67,10.09,10.52,1.55,1.56,0.6,16.51,14.66,1.71,1.49,0.11,11.69,0.8,23.38,22.72,2.33,2.22,0.83,14.64,14.97,3.34,3.39,1.45,21.24,6.99
MOORE,17.81,17.98,0.82,0.82,0.12,27.07,2.67,14.48,14.68,0,0,0,14.08,13.94,0.39,0.32,0.11,24.34,0.79,26.3,23.3,8.9,6.43,28.05,30.38,0.3,0.3,0.05,25.04,1.43,12.68,13.56,3.42,3.6,0.2,12.59,11.81,2.83,2.58,0.19,17.79,4.02,10.44,10.38,6.64,6.82,0.68,5.78,5.82,20.03,20.45,9.3,12.93,18.21
MORRIS,16.02,16.06,4.32,4.18,1.33,21.39,8.1,7.15,7.15,9.07,10.75,1.14,5.58,5.18,7.05,6.75,1.08,4.57,17.77,3.63,3.13,31.48,23.27,0.6,0.65,15.64,16.25,3.59,1.17,30.32,0.86,0.93,25.01,26.05,7.5,2.54,2.34,20.99,16.9,6.93,0.75,19.47,2.43,2.41,31.55,32.42,27.07,0.75,0.78,40.42,40.4,34.63,1.26,44.25
MOTLEY,37.02,37.83,0.81,0.93,0.93,54.82,2.29,24.3,25.82,1.77,1.77,0.76,30.42,29.22,2.87,2.51,1.32,10.71,23.45,19.03,16.13,16.13,10.97,31.63,31.85,2.66,3.44,1.55,5.92,10.27,18.57,25.27,18.14,20.63,17.93,5.82,5.3,24.92,18.59,3.53,6.48,21.56,5.95,5.85,11.6,13.28,6.14,3.55,3.46,25.44,24.7,6.17,2.13,45
NACOGDOCHES,17.77,17.97,4.28,4.02,1.42,31.79,7.78,18.5,18.87,2.07,2.24,0.42,27.49,25.9,2.16,1.87,0.76,16.71,4.08,22.1,19.48,19.75,14.53,12.47,13.03,4.45,4.48,0.29,15.13,6.54,11.38,11.84,7.18,7.27,1.8,24.57,20.79,7.08,4.17,1.23,4.37,8.05,8.63,8.75,16.83,18.35,8.06,3.52,3.53,13.52,13.54,8.8,6.12,21.5
NAVARRO,20.8,20.93,3.36,3.35,2.05,29.82,4.94,15.58,16.03,1.95,2.08,0.5,20.27,19.64,2.61,2.28,0.81,14.86,5.31,13.5,11.8,21.2,15.83,4.23,4.42,10.93,10.58,0.34,4.15,6.46,4.5,4.85,19.59,19.14,10.36,6.12,5.19,16.67,13.06,3.11,3.38,9.58,7.4,7.35,17.81,18.33,7.56,3.35,3.35,16.56,15.98,8.56,6.16,26.36
NEWTON,16.52,16.13,5.44,5.41,0.8,19.32,14.15,5.51,5.57,10.69,12.39,0.85,4.63,4.47,19.2,17.47,1.91,4.78,21.51,3.42,2.93,30.58,22.64,1.13,1.3,20.69,21.14,1.67,1.31,30.6,0.84,0.91,28.38,29.75,16.54,2.16,1.8,22.16,17.39,18.16,0.92,22.54,3.46,3.26,32.78,30.28,12.03,1.65,1.7,26.39,27.3,8.84,1.8,29.43
NOLAN,19.09,19.08,2.14,2.06,0.75,36.26,4.87,12.68,13.43,3.65,4.25,1.15,8.75,8.47,2.43,2.47,1.1,7.72,12.52,3.2,2.84,33.97,27.11,3.27,3.21,10.63,10.41,8.62,1.48,9.24,0.74,0.79,9.5,9.92,2.76,1.81,1.37,24.93,19.27,1.2,0.75,15.39,2.15,2.08,28.21,28.76,35.11,1.55,1.55,14.1,13.73,8.08,1.61,43.48
NUECES,6.3,6.3,6.19,5.94,3.25,14.91,11.8,6.58,6.71,3.72,4.16,1.93,7.32,7.08,5.19,4.31,2.78,7.86,5.63,6.7,6.13,25.58,20.84,3,3.24,7.69,7.6,6.6,3.22,12.73,4.92,5.09,13.88,14.77,13.04,6.18,5.68,9.45,7.28,4.03,2.32,5.28,7.18,7.06,15.55,14.81,11.24,3.74,3.76,17.36,18.05,18.66,6.59,23
OCHILTREE,33.51,33.57,0.43,0.43,0.12,34.6,1.29,19.07,19.32,0.33,0.37,0.16,29.84,28.63,0.2,0.18,0.12,27.5,0.26,41.76,38.11,2.5,1.88,39.03,40.18,0,0,0,25.98,0,29.18,31.37,0,0,0,24.92,22.5,1.03,0.91,0.12,24.08,0.92,38.43,37.64,2.45,2.32,0.5,28.24,28.77,2.01,2.1,1.6,20.59,23.91
OLDHAM,31.76,32.78,0.8,0.8,0.22,42.55,1.18,31.25,31.79,0,0,0,18.57,16.88,0,0,0,22.46,7.72,13.75,12.76,16.23,12.83,4.57,4.71,3.53,3.47,0.42,5.99,14.3,4.56,5.27,18.12,18.89,10.35,5.95,5.62,11.38,9.57,0.78,1.83,12.87,5.74,5.6,28,29.22,3.23,0,0,19.34,19.8,10.55,0,48.94
ORANGE,14.34,14.19,2.21,2.14,0.75,30.16,5.34,16.1,16.37,2.5,2.7,1.14,17.22,16.3,3.72,3.74,1.32,8.95,8.77,6.08,5.34,30.8,24.72,1.73,1.83,6.62,6.72,2.62,2.08,15.5,2.5,2.66,17.4,17.97,8.19,4.2,3.8,17.27,14.3,11.46,2.17,10.78,6.5,6.26,18.29,18.24,8.24,2.25,2.28,21.67,21.94,19.52,2.39,31.39
PALO PINTO,21.33,21.33,2.38,2.42,1.14,36.94,3.62,17.7,17.91,1.94,2.12,0.4,24.26,23.42,1.19,1.07,0.28,16.44,3.29,11.74,10.33,18.13,14.26,4.07,4.24,2.82,2.86,0.37,1.98,13.52,1.87,1.88,19.91,19.52,11.37,4.87,4.55,17.85,14.56,5.41,1.59,7.52,4.49,4.43,19.27,19.79,4.63,2.24,2.23,14.21,14.05,12.83,4.05,27.71
