County,2018_Rep_Gov,2018_Rep_Sen,2018_Dem_Sen,2018_Dem_Gov,2018_Dem_Gov_Runoff,2016_Rep_Pres,2016_Dem_Pres,2014_Rep_Sen,2014_Rep_Gov,2014_Dem_Sen,2014_Dem_Gov,2014_Dem_Sen_Runoff,2012_Rep_Pres,2012_Rep_Sen,2012_Dem_Pres,2012_Dem_Sen,2012_Dem_Sen_Runoff,2010_Rep_Gov,2010_Dem_Gov,2008_Rep_Pres,2008_Rep_Sen,2008_Dem_Pres,2008_Dem_Sen,2006_Rep_Sen,2006_Rep_Gov,2006_Dem_Sen,2006_Dem_Gov,2006_Sen_Dem_Runoff,2004_Rep_Pres,2004_Dem_Pres,2002_Rep_Sen,2002_Rep_Gov,2002_Dem_Sen,2002_Dem_Gov,2002_Dem_Sen_Runoff,2000_Rep_Pres,2000_Rep_Sen,2000_Dem_Pres,2000_Dem_Sen,2000_Dem_Sen_Runoff,1998_Rep_Gov,1998_Dem_Gov,1996_Rep_Pres,1996_Rep_Sen,1996_Dem_Pres,1996_Dem_Sen,1996_Dem_Sen_Runoff,1994_Rep_Sen,1994_Rep_Gov,1994_Dem_Sen,1994_Dem_Gov,1994_Dem_Sen_Runoff,1992_Rep_Pres,1992_Dem_Pres
GRAYSON,15.45,15.52,2.99,2.9,0.95,28.01,4.92,14.28,14.03,1.44,1.53,0.67,16.09,15.12,1.38,1.28,0.52,16.24,2.47,14.42,12.5,16.63,12.18,10.87,11.63,1.93,1.91,0.26,11.35,3.7,5.87,6.27,3.46,3.4,2.22,10.64,9.43,3.92,3.36,0.16,3.13,2.41,7.63,7.49,9.55,9.62,2.44,3.31,3.31,9.95,8.62,6.15,5.28,20.21
GREGG,13.87,13.82,4.54,4.49,2,27.48,6.57,11.66,11.68,2.61,2.95,1.62,17,16.61,2.22,1.98,0.55,16.82,2.51,15.92,13.98,15.86,10.66,11.15,11.28,2.29,2.32,0.37,12.18,2.79,11.62,11.71,5.01,5.14,4.28,15.3,13.57,2.38,1.92,0.13,10.65,2.43,16.78,16.42,5.04,4.72,2.28,10.28,10.5,7.76,7.87,6.64,11.5,10.96
GRIMES,18.24,18.31,3.25,3.3,1.16,29.35,5.29,17.08,17.76,1.56,1.67,0.58,17.95,17.2,3.66,3.04,1.24,19.05,5.02,12.75,11.17,19.52,13.5,7.84,8.38,7.58,8.1,3.73,9.87,6.73,7.38,7.86,14.99,15.39,5.1,11.22,10.19,13.67,10.9,2.75,5.33,8.59,8.39,8.21,22.73,22.07,14.79,3.55,3.58,29.45,29.96,23.9,5.38,31.6
GUADALUPE,12.24,12.17,4.2,4.11,1.42,23.9,6.83,13.58,13.84,1.99,2.09,0.71,15.31,14.76,2.15,2.06,0.7,16.08,2.55,16.11,14.45,18.57,13.92,7.59,7.96,2.09,2.11,0.44,9.97,3.57,13.17,13.54,3.08,3.17,1.24,20.02,17.86,2.64,2.33,0.37,10.21,1.44,18.26,18.03,3.47,3.34,1.02,12.97,13,5.7,5.66,4.89,12.56,9.9
HALE,16.83,16.97,1.57,1.51,0.56,23.37,2.73,12.16,12.5,0.89,0.93,0.2,11.91,11.71,1.09,1.05,0.49,15.96,1.83,11.42,10.39,10.93,8.75,7.92,7.84,1.75,1.7,0.29,12.26,2.26,4.43,4.63,4.66,4.78,0.9,7.36,6.72,2.64,2.17,0.25,4.86,5.42,6.67,6.61,20.28,21.15,13.98,4.11,4.17,15.23,15.2,11.94,4.84,26.52
HALL,19.98,20.13,3.32,2.91,0,26.68,5.04,10.12,10.27,3.36,3.2,0.7,7.74,8.13,5.5,5.3,1.12,11.77,9.56,0,0,38.53,24.79,0,0,10.55,11.77,1.5,1.07,21.57,1.13,1.08,34.89,37.97,31.47,3.86,3.73,21.83,16.12,2.24,1.02,20.05,0.84,0.84,37.93,36.28,9.48,0.97,0.97,36.15,37.72,20.46,1.21,43.08
HAMILTON,21.18,21.1,2.04,1.9,0.69,41.03,3.94,23.09,23.49,2.49,2.93,0.77,32.71,31.67,1.55,1.49,0.81,19.69,3.85,13.57,12.41,25.38,18.79,3.18,3.22,3.07,3.27,0.78,8.06,6.25,12.63,13.41,15.05,15.3,11.15,9.7,8.35,6.77,5.62,0.79,6.76,14.11,10.32,10.04,13.59,13.73,3.49,3.72,3.74,24.77,24.86,10.07,3.59,34.58
HANSFORD,31.18,31.88,0.27,0.27,0.17,43.55,1.2,34.02,35.33,0,0,0,23.84,21.63,0,0,0,30.76,0,39.86,33.41,0,0,26.98,26.83,0,0,0,56.09,0,25.93,30.22,0,0,0,31.79,28.67,0,0,0,35.96,0,27.94,27.4,2.28,2.21,0.34,10.89,11.08,3.18,3.18,1.96,21.06,17.97
HARDEMAN,14.62,14.82,2.42,2.09,0.41,27.64,7.28,6.77,7.17,2.74,2.94,0.86,10.09,9,6.09,5.16,1.32,5.51,15.49,0,0,36.58,27.62,0,0,22.33,21.62,1.01,0.65,17.37,0.44,0.47,24.05,25.29,25.56,2.87,2.63,12.7,10.36,8.55,1.41,21.02,3.49,3.38,16.81,15.95,11.45,0,0,21.99,22.2,15.79,1.09,51.06
HARDIN,9.95,9.91,1.2,1.18,0.39,33.77,2.85,20.44,20.82,1.26,1.36,0.24,21.69,20.33,1.72,1.65,0.28,15.54,7.36,7.5,6.59,26.25,19.8,2.06,2.19,6.53,6.76,0.39,3.15,15.28,3.2,2.62,10.73,12.09,4.18,5.36,4.82,15.46,12.63,0.4,2.38,12.61,6.82,6.6,22.45,22.56,9.24,2.17,2.25,22.77,22.87,13.14,1.94,29.29
