,male,female,white,black,native,asian,aapi,hispanic,non-hispanic white,income,less than 10k,10-15k,15-25,25-35,35-50,50-75k,75-100,100-150,150-200,200+,pct below PL,HH size,hs,college,rentals,owner-occupied,pop,over_18,over_65,employed,in civilian labor force,20-24,25-34,35-44,45-54,55-59,60-64,65-74,75-84,85+,County
"Polk County, Texas: Summary level: 050, state:48> county:373",53.2,46.8,82.7,11.4,1.2,0.5,0.0,13.1,72.4,17038,9.6,7.4,15.4,13.8,16.2,16.9,9.8,7.5,1.7,1.6,16.1,2.43,77.1,12.0,20.3,79.7,45618,79.1,19.1,41.5,47.5,5.9,11.2,11.8,14.4,7.2,7.2,11.8,5.6,1.7,Polk
"Refugio County, Texas: Summary level: 050, state:48> county:391",49.6,50.4,87.4,5.7,0.1,0.7,0.0,47.5,44.8,2784,7.0,7.1,15.7,12.7,16.5,17.0,9.8,9.5,3.8,0.8,14.6,2.53,77.0,10.0,22.8,77.2,7352,76.0,19.5,51.1,55.0,5.9,8.0,12.7,14.0,7.7,5.5,10.9,6.5,2.0,Refugio
"Van Zandt County, Texas: Summary level: 050, state:48> county:467",49.3,50.7,93.8,2.4,0.8,0.4,0.3,9.3,85.6,19330,8.2,7.4,13.2,12.0,16.8,20.6,9.9,9.0,1.0,1.8,13.2,2.67,79.8,12.5,22.9,77.1,52507,76.1,18.3,51.3,55.3,4.9,9.9,12.4,14.4,7.4,6.3,10.5,5.6,2.1,Van
"Caldwell County, Texas: Summary level: 050, state:48> county:055",50.4,49.6,69.4,7.3,0.7,0.2,0.0,47.3,44.0,11640,8.2,6.5,13.6,13.8,15.7,18.1,9.9,9.2,2.5,2.5,13.4,3.02,77.7,14.9,33.7,66.3,38152,73.7,12.2,50.5,56.6,7.7,12.2,13.2,13.8,6.1,4.9,6.8,3.8,1.6,Caldwell
"Wilbarger County, Texas: Summary level: 050, state:48> county:487",50.6,49.4,84.1,8.3,0.6,0.9,0.0,26.1,63.0,5125,7.9,8.2,14.2,13.4,14.8,19.3,12.6,5.7,2.5,1.4,16.4,2.47,77.2,18.2,33.1,66.9,13451,74.3,16.3,54.4,57.0,7.6,9.1,11.1,14.7,7.0,4.8,8.7,5.9,1.8,Wilbarger
"Martin County, Texas: Summary level: 050, state:48> county:317",49.3,50.7,86.4,2.5,1.0,0.0,0.0,44.9,52.5,1531,7.3,7.3,11.4,15.0,14.4,14.0,16.1,7.2,5.3,2.0,12.9,3.07,70.7,10.7,27.6,72.4,4804,70.6,13.0,55.7,59.5,5.3,11.3,12.5,13.7,5.5,5.3,7.0,2.9,3.2,Martin
"Reagan County, Texas: Summary level: 050, state:48> county:383",53.1,46.9,88.9,3.4,0.0,0.0,0.0,64.7,32.4,1172,2.9,6.8,7.5,5.5,20.1,22.3,16.6,11.3,5.4,1.7,9.4,2.83,63.5,8.1,27.1,72.9,3384,70.8,10.1,64.9,65.6,7.8,13.0,12.8,14.3,7.4,4.2,5.5,3.7,0.9,Reagan
"Yoakum County, Texas: Summary level: 050, state:48> county:501",49.3,50.7,82.2,1.2,0.7,0.5,0.0,59.0,38.7,2610,6.9,2.4,13.6,13.7,14.0,21.1,8.9,14.4,2.2,2.8,7.6,3.01,68.2,15.9,20.1,79.9,7918,67.6,11.5,59.3,65.5,4.0,13.9,13.2,12.1,5.7,4.0,5.9,4.2,1.3,Yoakum
"Hale County, Texas: Summary level: 050, state:48> county:189",51.9,48.1,83.2,4.6,0.7,0.4,0.0,56.0,37.3,11709,8.5,6.9,13.8,14.9,16.9,18.4,10.0,6.8,1.8,2.0,17.1,2.8,69.6,13.5,36.0,64.0,36153,71.3,12.2,54.5,58.7,8.0,13.3,12.3,12.7,5.4,4.1,6.2,4.3,1.6,Hale
"Shelby County, Texas: Summary level: 050, state:48> county:419",49.1,50.9,78.2,17.9,0.1,0.5,0.0,16.2,65.2,9768,10.8,7.0,17.4,13.8,13.1,15.2,11.1,5.8,2.9,2.9,19.9,2.58,75.8,13.5,26.6,73.4,25602,73.3,15.4,52.6,57.3,7.3,10.2,12.3,14.0,5.7,6.1,8.7,4.7,2.0,Shelby
"Red River County, Texas: Summary level: 050, state:48> county:387",47.8,52.2,78.6,17.2,1.2,0.1,0.1,6.6,73.9,4945,9.2,10.7,17.9,12.9,15.2,18.9,6.7,6.8,0.9,0.7,12.9,2.53,75.7,12.3,28.4,71.6,12795,78.5,21.1,46.1,50.6,4.8,10.6,12.1,13.7,7.0,7.3,11.7,6.6,2.8,Red
"Runnels County, Texas: Summary level: 050, state:48> county:399",49.7,50.3,92.4,2.0,0.3,0.3,0.0,32.5,64.7,3976,6.2,8.8,18.0,12.8,16.3,14.1,11.6,9.7,1.1,1.4,16.0,2.57,79.1,15.6,28.6,71.4,10473,75.6,19.7,55.4,56.8,5.5,9.0,12.2,13.1,7.1,7.1,10.3,6.6,2.7,Runnels
"Sutton County, Texas: Summary level: 050, state:48> county:435",48.0,52.0,92.0,1.0,0.5,0.0,0.0,61.3,37.6,1328,4.9,4.9,8.1,6.8,15.1,26.2,10.9,12.6,5.9,4.7,4.1,3.08,75.5,13.7,30.4,69.6,4123,70.0,12.4,60.8,61.8,6.1,11.3,11.9,14.1,7.3,4.7,7.4,4.2,0.8,Sutton
"Tom Green County, Texas: Summary level: 050, state:48> county:451",49.2,50.8,86.9,4.1,0.6,1.1,0.1,35.9,57.6,41796,6.2,8.0,13.5,12.4,15.3,17.8,11.6,10.6,2.4,2.2,12.5,2.5,82.4,21.5,35.2,64.8,110434,76.5,13.8,56.9,61.3,9.6,13.6,10.9,13.1,6.2,5.3,7.2,5.0,1.6,Tom
"Victoria County, Texas: Summary level: 050, state:48> county:469",48.9,51.1,81.7,6.3,0.4,1.1,0.0,44.0,47.8,31927,7.0,5.7,12.2,11.2,13.9,19.9,12.1,12.1,3.4,2.6,13.2,2.69,81.6,16.7,33.8,66.2,87188,73.4,13.5,61.2,66.0,6.2,13.0,11.9,14.1,6.5,5.5,7.3,4.7,1.5,Victoria
"Wharton County, Texas: Summary level: 050, state:48> county:481",49.1,50.9,80.4,14.4,0.2,0.2,0.0,37.5,47.5,14638,9.6,10.1,13.5,11.8,12.8,18.7,8.6,9.0,3.6,2.2,15.2,2.77,73.6,15.6,30.8,69.2,41153,73.4,14.7,60.4,65.0,6.1,11.9,11.6,14.1,6.5,5.6,7.7,5.3,1.7,Wharton
"Wichita County, Texas: Summary level: 050, state:48> county:485",51.4,48.6,81.2,10.4,0.8,2.1,0.1,16.7,68.4,48135,6.8,6.9,11.9,12.2,17.0,19.1,12.2,9.3,2.2,2.4,10.1,2.46,84.5,20.0,35.7,64.3,131019,76.9,13.0,53.4,56.8,9.8,14.2,11.6,13.5,5.8,5.0,6.7,4.6,1.7,Wichita
"Borden County, Texas: Summary level: 050, state:48> county:033",50.8,49.2,98.4,0.0,0.9,0.0,0.0,13.4,85.5,239,0.0,0.8,11.3,8.4,9.2,24.3,11.7,13.8,6.3,14.2,0.0,2.69,88.2,29.4,36.0,64.0,642,69.2,21.8,61.5,63.7,1.7,10.1,13.7,12.8,0.9,6.9,9.0,12.1,0.6,Borden
"Marion County, Texas: Summary level: 050, state:48> county:315",49.0,51.0,74.3,24.1,0.1,0.7,0.0,3.2,71.4,4620,17.7,7.3,15.4,12.3,14.2,15.7,7.6,7.0,0.8,2.1,15.1,2.25,80.2,10.9,24.8,75.2,10544,81.1,22.2,47.2,51.6,3.7,9.4,10.2,16.9,8.2,8.5,12.9,6.5,2.8,Marion
"Maverick County, Texas: Summary level: 050, state:48> county:323",48.8,51.2,90.5,0.2,1.4,0.2,0.0,95.5,3.0,15448,14.4,8.3,20.1,11.2,13.9,15.3,8.3,5.5,1.9,1.1,28.2,3.47,56.5,12.5,29.6,70.4,54107,66.6,10.8,51.9,58.2,7.0,11.8,12.7,11.3,5.1,4.4,6.2,3.5,1.0,Maverick
