,male,female,white,black,native,asian,aapi,hispanic,non-hispanic white,income,less than 10k,10-15k,15-25,25-35,35-50,50-75k,75-100,100-150,150-200,200+,pct below PL,HH size,hs,college,rentals,owner-occupied,pop,over_18,over_65,employed,in civilian labor force,20-24,25-34,35-44,45-54,55-59,60-64,65-74,75-84,85+,County
"Grayson County, Texas: Summary level: 050, state:48> county:181",48.7,51.3,84.7,5.7,1.3,0.8,0.0,11.2,78.6,46600,7.2,6.9,11.8,12.1,15.2,18.5,12.8,9.7,3.2,2.5,11.7,2.53,85.8,19.3,31.0,69.0,120641,76.0,15.6,56.0,61.5,6.4,11.4,12.3,14.7,6.9,5.8,8.6,4.9,2.1,Grayson
"Live Oak County, Texas: Summary level: 050, state:48> county:297",54.5,45.5,89.0,4.8,0.9,0.9,0.0,35.9,57.5,3829,5.2,7.3,16.3,11.9,18.9,18.5,6.3,10.5,2.0,3.0,10.9,2.59,79.0,13.1,19.6,80.4,11526,79.9,19.3,42.3,44.4,4.8,12.3,12.5,14.3,7.6,6.0,10.9,5.9,2.5,Live
"Palo Pinto County, Texas: Summary level: 050, state:48> county:363",49.2,50.8,88.2,2.5,0.7,0.4,0.0,17.9,78.0,10556,7.8,7.4,13.0,12.7,14.4,18.6,12.0,10.0,1.5,2.6,11.2,2.62,78.7,14.6,29.3,70.7,28010,75.2,16.5,55.4,59.9,5.9,10.8,12.0,14.3,7.1,6.1,9.7,5.0,1.8,Palo
"Karnes County, Texas: Summary level: 050, state:48> county:255",60.2,39.8,63.0,9.1,0.7,0.4,0.4,50.0,40.0,4496,12.5,10.9,10.8,11.9,13.6,15.1,9.3,10.0,2.7,3.3,19.2,2.44,71.1,10.5,30.6,69.4,14936,80.7,14.1,38.7,41.0,8.6,17.1,13.8,13.8,6.3,4.6,6.8,5.0,2.2,Karnes
"DeWitt County, Texas: Summary level: 050, state:48> county:123",52.5,47.5,68.4,9.5,0.2,0.5,0.1,32.3,57.4,6890,8.7,7.5,12.2,13.1,14.6,18.8,9.8,9.7,2.2,3.4,11.4,2.66,76.2,12.2,22.1,77.9,20156,78.3,18.7,50.6,53.4,4.8,11.4,12.3,15.3,7.3,5.8,9.1,7.0,2.6,DeWitt
"Callahan County, Texas: Summary level: 050, state:48> county:059",48.8,51.2,94.1,1.1,0.0,0.6,0.1,8.1,88.5,5182,8.5,4.5,12.4,12.6,16.5,18.3,12.8,8.6,4.2,1.6,11.3,2.59,86.8,17.3,17.5,82.5,13521,76.5,18.4,53.9,57.7,4.4,9.8,12.3,14.9,7.3,6.6,10.4,6.2,1.8,Callahan
"Cass County, Texas: Summary level: 050, state:48> county:067",48.4,51.6,79.7,17.2,0.6,0.4,0.1,3.6,77.1,11739,9.9,10.3,17.2,11.5,16.0,16.0,9.0,8.1,1.2,0.8,15.5,2.53,82.9,13.5,29.4,70.6,30324,77.1,19.4,47.7,53.6,4.9,10.3,11.6,14.7,7.3,6.7,10.8,6.1,2.5,Cass
"Gregg County, Texas: Summary level: 050, state:48> county:183",49.0,51.0,72.7,20.1,0.5,1.3,0.2,16.3,61.0,45083,7.8,7.0,11.7,12.2,15.9,18.5,11.0,9.7,3.0,3.1,13.4,2.6,81.6,20.1,36.7,63.3,121451,74.5,13.5,58.8,63.5,7.4,13.5,12.1,13.7,5.9,5.2,6.9,4.7,1.9,Gregg
"Madison County, Texas: Summary level: 050, state:48> county:313",58.0,42.0,74.3,21.1,0.2,0.3,0.0,20.0,58.4,3588,7.1,6.9,15.4,11.5,20.3,16.3,11.0,6.0,4.2,1.3,15.0,2.92,78.9,10.5,23.3,76.7,13590,78.7,13.9,39.7,42.4,10.1,15.9,13.2,10.6,5.1,6.0,7.7,4.3,1.9,Madison
"Lubbock County, Texas: Summary level: 050, state:48> county:303",49.4,50.6,79.9,7.1,0.4,2.0,0.2,32.0,57.3,104791,9.8,6.5,12.9,11.5,14.6,18.0,10.6,9.6,3.2,3.2,13.5,2.54,84.0,27.4,40.7,59.3,278339,75.8,11.1,62.2,66.5,12.6,14.4,11.1,12.2,5.4,4.5,5.9,3.7,1.4,Lubbock
"Kaufman County, Texas: Summary level: 050, state:48> county:257",49.2,50.8,83.7,9.7,0.4,0.7,0.2,17.2,69.9,34597,5.8,5.1,8.4,8.7,11.9,20.9,15.4,16.5,4.3,3.0,9.5,2.95,82.9,17.4,21.8,78.2,103385,71.3,10.5,61.5,67.6,5.5,12.9,14.4,14.5,6.2,4.8,6.4,3.2,0.9,Kaufman
"Kendall County, Texas: Summary level: 050, state:48> county:259",49.5,50.5,94.5,0.5,0.0,1.0,0.0,20.6,76.9,12742,3.8,2.4,9.1,8.0,13.8,14.8,12.1,19.0,8.4,8.7,4.0,2.6,90.4,38.8,24.3,75.7,33745,76.0,16.7,59.8,62.2,4.5,8.5,13.2,15.4,7.1,8.1,9.6,4.8,2.4,Kendall
"Floyd County, Texas: Summary level: 050, state:48> county:153",48.9,51.1,89.0,2.3,0.1,0.0,0.0,53.5,42.4,2598,10.9,12.1,10.5,16.1,12.9,15.9,9.8,7.9,2.6,1.3,19.9,2.43,73.2,16.0,31.0,69.0,6439,70.8,17.6,60.4,62.9,4.8,11.1,10.5,12.9,5.2,6.1,8.3,6.2,3.1,Floyd
"Bailey County, Texas: Summary level: 050, state:48> county:017",52.9,47.1,90.4,1.8,0.0,0.2,0.0,56.0,42.0,2357,7.6,12.7,12.0,10.2,20.8,17.5,9.5,8.5,0.4,0.8,4.2,2.97,67.3,13.4,32.8,67.2,7096,68.1,14.1,60.6,67.8,8.2,8.5,13.5,9.6,5.5,5.4,7.4,3.0,3.7,Bailey
"Chambers County, Texas: Summary level: 050, state:48> county:071",50.3,49.7,83.5,8.0,0.5,1.0,0.1,19.3,70.1,11822,4.4,3.6,6.8,7.9,9.9,17.2,16.4,18.9,10.4,4.5,5.6,2.9,85.5,16.8,15.2,84.8,34562,71.7,9.5,58.9,63.3,5.1,12.2,14.8,15.4,7.0,5.0,6.1,2.4,1.0,Chambers
"Bell County, Texas: Summary level: 050, state:48> county:027",49.6,50.4,66.5,21.3,0.6,2.9,0.7,21.7,50.6,103715,7.3,4.7,9.9,11.9,16.0,20.3,13.1,11.1,3.5,2.1,11.5,2.9,89.1,21.4,43.0,57.0,310155,71.7,8.8,51.7,56.6,9.8,17.0,12.7,11.8,4.6,4.1,5.0,2.9,1.0,Bell
"Cameron County, Texas: Summary level: 050, state:48> county:061",48.2,51.8,90.6,0.6,0.2,0.7,0.0,88.0,10.7,116839,14.4,9.5,16.1,13.0,13.5,15.9,7.3,6.9,1.7,1.6,30.0,3.44,63.0,14.9,32.4,67.6,405819,67.1,11.2,49.6,54.7,6.7,12.7,12.7,11.3,5.0,4.2,6.1,3.9,1.2,Cameron
"Deaf Smith County, Texas: Summary level: 050, state:48> county:117",49.2,50.8,88.1,0.4,1.0,0.3,0.0,67.5,30.6,6268,5.6,5.7,14.6,12.3,20.0,19.3,10.6,8.2,2.7,1.0,12.1,3.03,68.4,14.9,35.4,64.6,19275,67.8,11.4,58.7,62.2,6.7,13.5,11.8,11.6,5.3,4.5,6.0,4.0,1.4,Deaf
"El Paso County, Texas: Summary level: 050, state:48> county:141",48.5,51.5,80.3,3.1,0.6,1.1,0.1,81.8,13.4,252426,10.2,7.6,14.4,12.8,15.0,17.2,9.4,8.8,2.6,2.0,20.8,3.12,73.3,20.3,37.3,62.7,801115,70.1,10.3,53.3,58.1,8.0,13.5,13.1,12.6,5.1,4.2,5.6,3.5,1.2,El
"La Salle County, Texas: Summary level: 050, state:48> county:283",55.5,44.5,87.7,1.1,1.6,0.5,0.0,83.8,14.5,1884,17.6,9.8,20.3,11.2,12.0,10.8,9.3,4.0,3.5,1.5,20.2,3.22,52.7,5.4,31.8,68.2,6850,72.1,13.3,42.0,46.3,7.1,15.4,12.7,10.4,5.1,5.5,8.1,4.6,0.6,La
"Terrell County, Texas: Summary level: 050, state:48> county:443",52.7,47.3,96.1,0.0,0.0,3.9,0.0,61.5,34.6,439,3.2,13.4,16.4,16.4,17.8,7.3,15.3,7.3,1.8,1.1,10.0,2.28,75.5,16.2,28.9,71.1,1001,80.9,24.3,49.7,49.7,0.9,8.9,20.1,14.3,5.7,6.8,13.1,8.5,2.7,Terrell
"Tyler County, Texas: Summary level: 050, state:48> county:457",54.3,45.7,85.2,11.0,0.7,0.4,0.0,6.8,80.1,8179,8.9,7.5,16.3,14.5,17.7,18.2,7.6,6.7,2.1,0.7,14.4,2.4,81.7,10.6,18.3,81.7,21638,79.6,19.4,39.8,44.9,6.1,12.8,12.1,13.6,6.2,7.1,11.0,6.4,1.9,Tyler
"Wheeler County, Texas: Summary level: 050, state:48> county:483",50.4,49.6,87.2,3.2,0.8,0.9,0.0,24.7,71.1,2354,4.5,5.5,16.9,9.6,13.8,18.5,11.4,11.8,3.2,4.7,9.4,2.26,81.4,17.5,26.3,73.7,5414,75.2,18.2,60.6,63.6,5.0,12.7,11.2,13.4,6.7,6.2,10.4,6.1,1.8,Wheeler
"Archer County, Texas: Summary level: 050, state:48> county:009",50.3,49.7,96.1,0.6,0.7,0.5,0.0,7.7,90.1,3330,5.4,5.0,9.1,9.7,14.5,20.8,15.6,13.9,2.6,3.3,7.7,2.65,85.7,19.0,19.5,80.5,8944,76.3,16.5,59.6,61.3,4.9,9.0,12.1,17.7,8.3,4.9,9.5,5.3,1.7,Archer
"Brewster County, Texas: Summary level: 050, state:48> county:043",49.6,50.4,90.6,1.3,1.2,1.3,0.1,43.0,53.3,4106,5.9,6.1,15.5,14.3,16.9,16.4,10.9,10.0,1.9,2.1,6.1,2.18,83.7,35.4,38.7,61.3,9175,80.0,16.8,62.4,63.9,9.3,10.0,12.0,13.6,9.3,5.9,10.2,5.2,1.4,Brewster
"Hidalgo County, Texas: Summary level: 050, state:48> county:215",48.7,51.3,86.1,0.5,0.3,1.0,0.0,90.6,7.8,214396,14.5,9.7,15.5,12.5,14.0,14.7,8.3,7.2,1.9,1.8,30.9,3.58,61.2,15.6,31.0,69.0,774820,65.5,9.5,52.3,58.6,7.4,13.9,13.1,10.3,4.2,3.7,5.2,3.2,1.1,Hidalgo
"Smith County, Texas: Summary level: 050, state:48> county:423",48.3,51.7,75.9,18.1,0.4,1.2,0.2,17.2,62.2,77916,7.3,5.9,12.4,12.1,14.7,17.8,11.7,10.8,3.2,4.1,11.5,2.63,84.8,24.8,32.6,67.4,209691,74.4,14.4,58.3,63.3,7.7,12.7,12.2,13.0,6.0,5.3,7.7,4.7,2.0,Smith
"Crockett County, Texas: Summary level: 050, state:48> county:105",51.1,48.9,91.2,0.0,0.0,0.0,0.0,57.2,42.2,1273,7.4,10.8,7.9,11.2,12.8,12.4,22.4,13.7,0.8,0.6,8.9,2.81,62.4,9.6,34.6,65.4,3669,75.7,14.9,62.1,67.1,3.4,14.1,13.6,10.8,9.1,6.2,9.5,3.3,2.2,Crockett
"Haskell County, Texas: Summary level: 050, state:48> county:207",51.3,48.7,80.5,4.3,0.2,0.2,0.0,24.2,70.2,2480,11.1,7.1,17.3,10.1,14.6,16.2,7.9,11.6,2.6,1.6,12.3,2.21,77.8,14.8,27.3,72.7,5891,79.0,22.1,48.9,53.4,6.3,9.1,12.6,13.1,5.2,8.0,9.9,9.8,2.4,Haskell
"Howard County, Texas: Summary level: 050, state:48> county:227",56.2,43.8,73.4,5.5,0.9,0.8,0.3,38.3,53.2,11079,7.5,6.7,11.7,15.4,14.4,21.0,9.4,9.3,3.3,1.2,12.0,2.62,72.2,11.2,33.0,67.0,34927,77.5,13.3,44.9,48.2,6.7,14.6,14.1,14.7,6.2,4.9,7.3,4.5,1.5,Howard
"Mills County, Texas: Summary level: 050, state:48> county:333",48.0,52.0,97.4,0.6,0.0,0.0,0.0,17.0,82.2,1855,12.3,5.3,16.7,15.8,9.9,19.6,9.8,6.8,2.0,1.9,10.0,2.52,78.1,17.5,19.8,80.2,4880,75.6,22.1,48.3,52.2,4.7,7.1,10.4,16.2,6.5,7.2,11.4,7.4,3.2,Mills
"Montague County, Texas: Summary level: 050, state:48> county:337",49.2,50.8,95.2,0.1,0.3,0.4,0.0,9.8,87.8,8058,8.1,8.7,13.0,9.9,15.2,19.6,9.4,10.1,3.5,2.5,12.2,2.41,82.1,15.0,24.5,75.5,19737,76.7,20.1,53.9,57.8,4.9,9.9,11.8,13.7,6.5,7.1,11.4,6.4,2.4,Montague
"Panola County, Texas: Summary level: 050, state:48> county:365",49.1,50.9,77.1,17.0,0.4,0.1,0.0,8.2,73.7,8870,8.7,4.9,11.2,8.8,15.7,22.1,12.4,10.2,3.6,2.2,8.6,2.62,81.3,10.8,20.6,79.4,23814,75.6,15.7,53.7,57.6,5.8,12.2,10.9,14.7,7.1,6.4,8.8,5.1,1.8,Panola
"Sabine County, Texas: Summary level: 050, state:48> county:403",49.2,50.8,90.5,8.9,0.0,0.0,0.0,3.1,87.5,4269,11.8,5.9,20.4,15.3,16.0,15.4,6.6,6.5,1.9,0.3,19.4,2.46,81.7,14.1,12.4,87.6,10642,80.6,26.8,34.5,39.3,6.3,6.7,9.4,13.8,7.9,8.6,15.6,8.2,2.9,Sabine
"Sherman County, Texas: Summary level: 050, state:48> county:421",51.3,48.8,85.6,0.2,0.1,0.2,0.0,40.7,58.2,996,2.2,2.4,12.6,14.7,21.9,20.4,8.9,12.9,2.3,1.8,12.0,2.98,75.7,20.0,24.3,75.7,3040,67.6,12.7,62.0,66.5,4.9,8.9,14.1,14.2,4.2,5.1,5.5,4.6,2.5,Sherman
"Swisher County, Texas: Summary level: 050, state:48> county:437",54.4,45.6,85.6,5.7,0.2,0.4,0.4,40.4,51.0,2622,6.6,8.2,19.8,10.3,13.8,17.8,10.8,10.6,1.1,1.1,14.5,2.73,76.7,16.9,25.6,74.4,7816,73.9,16.9,48.0,53.8,7.3,12.4,10.0,13.4,5.5,5.8,8.3,6.7,1.9,Swisher
"Hunt County, Texas: Summary level: 050, state:48> county:231",49.5,50.5,81.2,8.8,0.6,1.1,0.0,13.7,74.6,30682,8.2,8.4,11.7,11.3,15.1,17.8,11.0,10.7,3.5,2.3,15.1,2.72,81.6,17.3,28.4,71.6,85955,75.1,14.0,52.9,60.0,7.0,11.6,12.8,14.6,6.0,6.1,8.2,3.9,1.8,Hunt
"Camp County, Texas: Summary level: 050, state:48> county:063",49.0,51.0,77.7,18.3,0.2,0.3,0.0,21.1,58.7,4350,12.1,4.8,15.4,13.3,16.6,15.4,12.5,5.8,1.9,2.1,16.1,2.8,74.1,15.4,30.8,69.2,12389,73.5,16.7,51.5,56.8,4.8,13.2,11.4,12.0,6.8,5.9,9.1,5.2,2.4,Camp
"Hansford County, Texas: Summary level: 050, state:48> county:195",50.5,49.5,88.5,0.2,0.9,0.3,0.3,43.3,55.0,1918,6.9,6.0,9.7,10.4,17.6,23.1,11.7,9.0,2.4,3.1,13.9,2.86,74.5,21.1,20.4,79.6,5556,70.0,13.9,64.7,66.4,4.3,8.5,15.5,12.2,5.7,5.1,7.3,4.5,2.0,Hansford
"Clay County, Texas: Summary level: 050, state:48> county:077",49.5,50.5,95.9,0.7,1.4,0.2,0.0,4.7,92.0,4272,4.3,6.1,10.6,9.5,14.5,19.5,18.2,13.4,2.4,1.5,3.4,2.49,88.3,18.0,13.9,86.1,10718,77.4,17.8,58.2,61.9,4.2,9.2,11.8,16.6,8.6,6.8,10.2,6.0,1.5,Clay
"Hartley County, Texas: Summary level: 050, state:48> county:205",61.6,38.4,85.0,7.2,0.2,0.1,0.0,23.3,68.4,1717,3.2,3.3,8.2,10.8,16.5,19.6,14.2,16.1,3.5,4.7,4.7,2.65,80.1,19.8,31.5,68.5,6015,78.2,13.2,47.7,48.9,2.8,17.0,16.9,17.1,4.8,5.4,7.0,4.1,2.0,Hartley
"Hill County, Texas: Summary level: 050, state:48> county:217",48.8,51.2,88.2,6.8,1.4,0.4,0.0,18.4,73.4,13503,7.7,7.6,15.7,13.9,15.0,18.5,9.1,8.8,2.5,1.3,13.2,2.53,79.5,14.6,27.5,72.5,35079,75.6,18.4,52.4,57.1,5.7,10.7,11.4,13.5,7.4,5.9,10.2,6.0,2.2,Hill
"Limestone County, Texas: Summary level: 050, state:48> county:293",52.5,47.5,77.7,17.6,0.2,0.4,0.1,19.0,61.8,7928,6.8,8.8,14.2,13.6,14.2,17.5,11.4,10.2,2.4,0.9,11.8,2.65,79.3,13.2,24.4,75.6,23350,76.4,16.1,49.5,52.6,6.2,13.4,12.1,13.7,6.7,6.2,8.9,5.2,2.0,Limestone
"Nacogdoches County, Texas: Summary level: 050, state:48> county:347",47.7,52.3,75.9,18.7,0.5,1.3,0.0,17.5,61.7,23247,12.8,9.1,14.3,13.1,12.6,17.2,9.6,8.0,1.8,1.5,19.3,2.53,81.5,24.5,41.1,58.9,64647,76.6,11.9,53.7,58.3,13.2,12.1,10.2,11.7,5.8,4.6,6.4,4.0,1.5,Nacogdoches
"Parmer County, Texas: Summary level: 050, state:48> county:369",51.3,48.7,91.2,0.9,0.6,0.0,0.1,59.7,38.7,3299,8.0,3.6,13.1,12.2,19.6,18.2,11.5,9.7,1.8,2.3,18.0,3.04,63.0,13.9,30.7,69.3,10172,69.3,12.2,64.1,66.4,6.5,13.0,11.7,13.3,5.0,4.6,6.8,3.7,1.7,Parmer
"Parker County, Texas: Summary level: 050, state:48> county:367",50.6,49.4,93.7,1.8,0.9,0.6,0.0,10.7,85.0,41640,5.2,4.2,8.5,8.8,12.1,17.5,14.0,16.6,7.9,5.2,8.0,2.73,87.3,23.8,20.4,79.6,116820,74.7,12.5,58.7,62.8,5.7,11.1,13.5,16.3,6.9,5.8,7.6,3.7,1.2,Parker
"Presidio County, Texas: Summary level: 050, state:48> county:377",50.6,49.4,92.6,0.5,4.1,0.0,0.0,82.9,15.3,2654,14.4,13.4,16.9,15.4,9.9,19.1,4.3,3.1,2.0,1.5,18.6,2.87,58.0,23.8,30.5,69.5,7678,73.2,18.5,52.4,57.4,4.2,9.4,12.2,12.2,7.0,5.8,10.1,5.6,2.9,Presidio
"Val Verde County, Texas: Summary level: 050, state:48> county:465",50.2,49.8,91.3,1.4,0.4,0.5,0.0,80.3,17.4,14903,10.5,7.7,13.2,12.0,17.9,15.9,10.1,9.5,2.4,0.9,16.5,3.18,65.2,15.8,31.6,68.4,48578,70.3,12.5,52.8,58.6,7.4,12.9,13.1,11.3,5.1,4.7,6.9,4.1,1.4,Val
"Culberson County, Texas: Summary level: 050, state:48> county:109",45.5,54.5,93.9,0.5,1.0,0.0,0.2,77.7,18.6,854,21.1,11.2,7.7,13.5,18.9,14.9,4.3,6.6,1.9,0.0,26.8,2.75,63.8,16.4,33.4,66.6,2386,71.0,10.2,61.1,68.5,5.5,9.5,12.8,14.4,8.3,7.0,6.1,2.8,1.3,Culberson
"Ector County, Texas: Summary level: 050, state:48> county:135",49.5,50.5,85.0,4.3,0.7,0.7,0.0,53.0,40.8,49065,6.5,6.5,11.3,11.2,13.8,20.7,12.4,11.0,3.9,2.8,12.8,2.78,73.2,13.2,33.7,66.3,138193,70.9,10.1,63.3,67.1,8.1,14.6,11.9,13.0,5.7,4.2,5.6,3.4,1.1,Ector
"Garza County, Texas: Summary level: 050, state:48> county:169",63.8,36.2,85.2,5.4,0.6,0.0,0.3,55.6,39.1,1659,7.1,12.8,16.5,10.8,12.5,16.0,9.5,7.4,3.6,3.7,19.4,2.36,61.9,10.7,25.4,74.6,6295,83.6,12.6,32.1,33.0,6.1,17.8,18.3,17.3,5.5,4.9,6.5,5.1,0.9,Garza
"Glasscock County, Texas: Summary level: 050, state:48> county:173",55.6,44.4,94.1,2.6,0.0,0.0,0.0,27.9,69.5,431,0.5,7.9,3.9,9.5,4.2,23.4,11.8,29.5,4.4,4.9,0.6,2.86,78.6,17.5,30.6,69.4,1255,71.1,11.2,63.7,64.7,4.1,7.3,15.5,16.7,8.8,3.7,7.7,3.1,0.4,Glasscock
