,male,female,white,black,native,asian,aapi,hispanic,non-hispanic white,income,less than 10k,10-15k,15-25,25-35,35-50,50-75k,75-100,100-150,150-200,200+,pct below PL,HH size,hs,college,rentals,owner-occupied,pop,over_18,over_65,employed,in civilian labor force,20-24,25-34,35-44,45-54,55-59,60-64,65-74,75-84,85+,County
"Gillespie County, Texas: Summary level: 050, state:48> county:171",48.6,51.4,91.1,0.1,2.8,0.2,0.0,22.9,75.0,10717,4.9,4.6,10.9,11.1,12.1,20.0,10.3,15.1,4.7,6.3,9.1,2.41,89.4,33.8,26.7,73.3,26208,80.1,29.0,54.9,57.4,4.5,8.1,10.0,11.0,6.7,8.7,15.0,9.9,4.2,Gillespie
"Dallas County, Texas: Summary level: 050, state:48> county:113",49.3,50.7,61.7,22.5,0.4,6.2,0.1,39.9,29.6,917276,6.1,4.2,9.4,10.3,14.0,18.6,11.9,13.1,5.5,7.0,13.3,2.79,78.7,30.7,49.9,50.1,2586552,73.4,10.2,65.1,68.7,7.1,16.3,13.9,12.7,5.8,4.9,6.2,2.9,1.2,Dallas
"McMullen County, Texas: Summary level: 050, state:48> county:311",58.5,41.5,98.5,0.0,0.6,0.0,0.0,50.2,49.2,223,7.2,6.3,2.7,4.5,18.8,20.2,11.7,10.3,7.2,11.2,9.8,2.97,90.3,23.3,26.9,73.1,662,73.7,20.7,45.4,55.2,3.6,12.4,18.9,5.3,8.8,4.1,11.3,6.3,3.0,McMullen
"Young County, Texas: Summary level: 050, state:48> county:503",49.3,50.7,94.9,2.0,0.8,0.5,0.0,18.4,78.3,7105,5.8,4.6,10.7,12.3,18.6,17.9,10.8,15.0,2.4,1.8,7.1,2.51,83.8,19.6,21.9,78.1,18114,75.8,19.8,56.6,58.4,4.3,11.4,11.0,12.5,6.8,7.2,10.6,6.1,3.2,Young
"Johnson County, Texas: Summary level: 050, state:48> county:251",49.9,50.1,90.9,3.1,0.5,0.9,0.4,20.8,72.9,56433,4.0,3.4,8.3,8.9,14.0,20.4,14.8,16.6,5.8,3.9,8.0,2.85,84.8,18.3,26.0,74.0,163475,73.9,13.7,59.5,62.2,6.1,12.7,13.1,13.4,7.0,5.4,8.4,4.1,1.2,Johnson
"Hopkins County, Texas: Summary level: 050, state:48> county:223",49.1,50.9,83.5,7.0,0.2,0.7,0.1,16.7,73.6,13405,6.6,4.9,11.4,12.4,12.6,20.7,11.7,11.8,4.2,3.7,13.5,2.67,83.7,18.3,30.1,69.9,36240,75.0,17.9,56.6,59.3,5.8,12.0,11.6,12.8,6.8,5.9,10.3,6.0,1.6,Hopkins
"Ochiltree County, Texas: Summary level: 050, state:48> county:357",50.5,49.5,88.3,1.4,1.9,0.2,0.0,53.8,43.6,3443,4.2,4.2,12.4,13.7,15.6,18.3,11.9,12.4,3.2,4.1,11.2,2.99,75.3,15.2,27.2,72.8,10348,68.4,10.0,61.8,65.4,5.1,14.2,14.2,9.8,6.1,5.4,6.0,2.8,1.2,Ochiltree
"Knox County, Texas: Summary level: 050, state:48> county:275",49.6,50.4,85.1,6.5,0.8,0.1,0.0,34.0,58.7,1330,8.6,4.1,13.6,14.4,12.6,16.1,15.4,11.5,2.3,1.4,11.2,2.7,80.5,19.6,15.6,84.4,3733,72.6,18.3,51.2,54.2,6.7,10.1,8.5,12.3,6.6,7.7,8.9,6.5,2.9,Knox
"McLennan County, Texas: Summary level: 050, state:48> county:309",48.9,51.1,77.9,14.7,0.4,1.6,0.0,26.1,56.3,89034,9.1,5.4,12.1,11.3,13.6,17.1,11.2,12.5,4.1,3.6,13.0,2.69,84.3,23.7,41.4,58.6,248429,75.2,13.9,58.5,61.2,10.6,12.9,11.3,11.2,5.8,5.5,7.7,4.3,1.8,McLennan
"Concho County, Texas: Summary level: 050, state:48> county:095",66.2,33.8,94.5,2.2,0.2,1.1,0.0,56.0,40.3,873,7.6,7.7,14.7,13.3,10.7,20.0,7.2,14.4,1.5,3.0,8.8,3.51,62.1,11.9,29.4,70.6,4233,87.2,17.8,33.2,33.6,5.3,11.9,13.9,15.2,6.2,5.7,10.1,5.3,2.4,Concho
"Edwards County, Texas: Summary level: 050, state:48> county:137",51.7,48.3,99.7,0.0,0.0,0.0,0.0,58.1,41.8,686,9.9,7.3,13.6,15.6,7.6,20.4,10.3,6.4,3.5,5.4,4.0,2.98,75.7,20.8,18.4,81.6,2055,83.1,27.7,51.8,54.1,4.3,6.8,7.9,17.9,5.9,6.5,16.3,10.7,0.8,Edwards
"Eastland County, Texas: Summary level: 050, state:48> county:133",50.6,49.4,91.8,3.7,0.4,0.7,0.0,16.2,79.5,6460,10.8,7.1,19.3,12.3,15.8,14.6,5.8,7.7,3.4,3.3,15.4,2.68,83.6,13.3,24.3,75.7,18270,79.5,22.5,43.8,46.2,6.1,9.7,11.2,11.0,7.4,7.0,12.1,6.8,3.6,Eastland
"Jeff Davis County, Texas: Summary level: 050, state:48> county:243",49.9,50.1,94.7,0.8,0.4,2.3,0.0,32.5,63.7,1050,5.7,5.3,13.0,10.6,14.4,23.0,17.2,8.3,2.2,0.3,1.4,2.07,85.1,35.1,19.0,81.0,2234,81.0,31.6,46.7,49.3,2.6,6.2,9.0,11.2,7.9,10.4,24.2,5.9,1.5,Jeff
"Jim Hogg County, Texas: Summary level: 050, state:48> county:247",48.3,51.7,98.9,0.1,0.0,0.0,0.0,92.6,7.0,1710,10.1,11.5,19.6,12.0,11.1,12.0,10.5,8.5,1.8,2.7,23.0,3.07,74.2,12.3,27.7,72.3,5282,68.6,17.6,46.2,52.2,5.7,9.9,10.8,7.5,6.6,7.1,9.9,6.2,1.6,Jim
"Montgomery County, Texas: Summary level: 050, state:48> county:339",49.5,50.5,86.5,4.7,0.4,2.8,0.1,23.7,66.9,192823,4.0,2.7,7.1,7.5,10.6,16.5,13.0,17.0,8.6,13.1,7.2,2.86,87.4,34.7,28.7,71.3,554445,73.4,12.5,61.8,64.7,5.9,12.7,13.7,13.8,6.7,5.6,7.9,3.4,1.2,Montgomery
"Dimmit County, Texas: Summary level: 050, state:48> county:127",48.6,51.4,89.2,0.0,0.0,3.8,0.0,86.7,9.5,3309,14.3,10.0,23.4,12.0,8.4,9.3,9.3,7.9,3.1,2.3,22.1,3.18,67.3,14.1,27.7,72.3,10663,70.0,16.3,44.7,53.4,4.9,12.6,13.7,8.7,4.1,6.0,8.7,4.8,2.7,Dimmit
"Webb County, Texas: Summary level: 050, state:48> county:479",48.9,51.1,95.4,0.4,0.2,0.5,0.0,95.5,3.5,73659,12.0,7.2,12.3,11.4,13.8,16.0,10.0,10.9,3.4,3.0,26.2,3.65,67.3,18.4,37.5,62.5,272053,66.4,9.0,56.0,59.1,8.0,13.4,13.1,11.2,4.5,3.9,5.3,2.5,1.2,Webb
"Armstrong County, Texas: Summary level: 050, state:48> county:011",50.1,49.9,95.5,0.4,1.5,0.0,0.0,6.8,90.7,708,2.3,5.2,5.4,8.5,9.5,27.5,13.3,18.1,7.3,3.0,4.1,2.62,88.4,23.2,19.6,80.4,1916,79.3,20.9,60.6,61.1,4.3,10.3,10.8,14.1,10.9,6.8,12.1,5.8,3.0,Armstrong
"Castro County, Texas: Summary level: 050, state:48> county:069",50.1,49.9,90.9,0.9,0.2,1.2,0.0,64.2,32.4,2532,5.8,5.3,9.8,14.1,19.7,18.9,12.1,7.8,4.6,2.1,11.1,3.04,73.8,14.8,41.0,59.0,7787,70.7,14.8,59.6,60.8,6.8,10.1,12.4,11.0,6.1,6.2,8.7,4.2,1.9,Castro
"Kleberg County, Texas: Summary level: 050, state:48> county:273",51.1,48.9,87.7,3.3,0.2,2.2,0.0,72.7,20.4,10946,15.0,6.1,13.1,8.5,15.7,13.3,10.6,11.3,3.6,2.6,18.5,2.7,79.2,24.8,48.0,52.0,31425,75.4,12.8,53.4,58.8,15.2,13.9,10.4,9.0,4.1,4.6,7.2,4.1,1.5,Kleberg
"Cooke County, Texas: Summary level: 050, state:48> county:097",49.7,50.3,92.2,2.5,0.7,0.9,0.0,17.8,75.8,15368,4.5,3.5,9.5,11.8,16.1,17.2,13.4,15.8,4.5,3.9,10.3,2.53,86.2,20.5,32.5,67.5,39571,76.0,17.8,61.2,64.5,6.4,12.2,10.7,12.5,6.7,7.5,10.4,5.4,2.0,Cooke
"Crosby County, Texas: Summary level: 050, state:48> county:107",49.8,50.2,89.3,4.1,0.0,0.2,0.0,55.6,39.8,2044,10.7,7.4,14.1,14.3,17.8,15.9,10.3,6.3,1.5,2.0,17.0,2.83,76.2,12.8,29.0,71.0,5861,72.9,18.1,55.2,59.5,5.6,11.0,12.4,9.9,6.7,6.1,9.6,6.4,2.1,Crosby
"Fisher County, Texas: Summary level: 050, state:48> county:151",48.4,51.6,89.3,2.9,0.9,0.6,0.1,30.5,64.2,1649,8.0,8.2,8.7,13.9,15.5,17.7,9.3,14.7,2.0,1.9,12.3,2.33,85.9,18.2,25.9,74.1,3883,79.2,23.0,53.8,57.4,6.6,10.1,11.1,11.7,6.9,7.2,12.6,8.1,2.3,Fisher
"Duval County, Texas: Summary level: 050, state:48> county:131",50.7,49.3,87.0,1.7,0.3,0.0,0.0,89.3,9.1,3511,12.2,8.5,16.1,10.7,14.2,17.8,9.3,6.4,2.4,2.4,21.6,3.09,67.1,9.3,36.5,63.5,11355,73.9,17.8,47.0,52.6,8.2,12.6,11.4,11.3,8.0,2.8,9.7,6.2,1.9,Duval
"Blanco County, Texas: Summary level: 050, state:48> county:031",51.3,48.7,90.2,0.5,1.0,1.5,0.3,19.3,77.2,4297,3.9,3.5,9.3,8.2,15.3,19.8,10.8,16.3,6.2,6.6,6.9,2.6,90.7,27.1,22.1,77.9,11279,81.8,23.9,56.6,60.0,4.4,7.6,11.2,13.9,9.5,8.9,15.1,6.9,1.9,Blanco
"Jasper County, Texas: Summary level: 050, state:48> county:241",49.3,50.7,77.9,16.5,0.3,0.5,0.1,6.6,74.6,12583,6.2,7.0,14.4,11.9,13.4,16.4,12.6,12.3,2.7,3.1,11.9,2.75,84.6,12.4,23.3,76.7,35504,75.8,19.0,46.9,51.3,6.1,10.6,11.2,13.0,7.3,6.4,11.3,5.3,2.4,Jasper
"Jefferson County, Texas: Summary level: 050, state:48> county:245",51.2,48.8,58.3,33.8,0.3,3.7,0.0,20.2,41.1,94002,9.6,5.6,11.9,10.9,13.1,17.0,10.8,12.4,5.0,3.7,14.6,2.54,84.0,19.6,38.7,61.3,255210,76.1,13.9,52.7,55.9,7.1,14.7,12.7,12.6,6.7,5.8,7.8,4.3,1.8,Jefferson
"Kinney County, Texas: Summary level: 050, state:48> county:271",62.3,37.7,96.7,0.1,0.2,0.0,0.0,62.5,37.4,1170,7.2,7.0,26.1,14.8,10.5,9.7,10.3,12.3,1.3,0.8,11.3,2.94,73.4,9.6,25.8,74.2,3675,82.2,20.4,39.8,42.7,5.9,15.8,10.6,13.7,9.4,4.8,13.6,3.3,3.5,Kinney
"Oldham County, Texas: Summary level: 050, state:48> county:359",54.8,45.2,91.0,4.9,0.1,0.5,0.0,16.9,74.6,527,6.3,1.9,11.8,6.3,10.8,24.3,14.2,8.2,8.5,7.8,8.1,2.83,85.7,22.5,22.6,77.4,2090,63.4,14.1,55.0,57.0,5.6,8.4,10.5,9.0,6.9,6.1,9.3,3.5,1.2,Oldham
"Lamb County, Texas: Summary level: 050, state:48> county:279",50.6,49.4,87.9,5.0,0.3,0.6,0.0,55.2,39.6,4754,7.0,10.2,11.4,13.0,15.0,19.9,9.2,10.1,1.5,2.7,19.2,2.75,74.1,15.9,29.6,70.4,13262,71.9,16.2,56.9,58.6,6.6,11.8,10.9,11.6,6.9,5.5,7.9,5.9,2.4,Lamb
"Lipscomb County, Texas: Summary level: 050, state:48> county:295",53.0,47.0,85.1,0.5,2.0,1.0,0.0,30.3,64.9,1256,4.5,8.0,6.4,12.7,10.1,18.8,16.4,14.4,5.4,3.3,10.0,2.73,82.2,19.5,26.3,73.7,3469,73.2,15.3,61.4,65.4,4.9,15.9,9.1,11.5,7.1,6.6,7.6,5.2,2.5,Lipscomb
"McCulloch County, Texas: Summary level: 050, state:48> county:307",52.6,47.4,83.6,1.8,0.0,0.2,0.0,31.9,61.1,3255,8.4,6.2,11.9,10.7,16.4,22.5,11.1,8.8,1.1,2.9,11.0,2.44,80.1,19.0,25.2,74.8,8098,77.0,22.1,58.0,59.5,5.2,10.2,11.1,13.3,6.7,7.2,13.1,6.1,3.0,McCulloch
"Mason County, Texas: Summary level: 050, state:48> county:319",51.6,48.4,87.3,0.0,2.2,2.2,0.0,23.5,72.8,1667,10.0,8.0,9.5,13.9,18.6,13.1,12.1,7.2,4.8,2.9,10.3,2.49,88.2,20.0,29.0,71.0,4161,78.7,25.1,60.3,63.9,4.8,7.6,10.7,12.8,7.6,7.7,15.5,8.0,1.7,Mason
"Dickens County, Texas: Summary level: 050, state:48> county:125",51.6,48.4,91.3,3.1,0.8,0.5,0.0,30.4,66.0,842,12.0,11.6,11.8,7.5,16.5,16.7,10.5,8.7,2.4,2.4,13.1,2.48,81.5,16.7,27.1,72.9,2216,78.3,23.1,41.0,48.6,3.7,9.0,14.6,11.1,5.8,8.7,12.5,9.2,1.5,Dickens
"Lee County, Texas: Summary level: 050, state:48> county:287",50.5,49.5,79.6,11.2,0.0,1.1,0.0,23.4,63.6,6104,6.2,7.3,9.8,8.0,14.2,22.2,13.2,11.2,4.8,3.1,11.6,2.69,83.9,15.9,21.2,78.8,16952,77.6,18.3,58.5,60.2,5.6,9.8,12.5,12.8,7.1,7.7,10.2,6.0,2.2,Lee
"Tarrant County, Texas: Summary level: 050, state:48> county:439",48.9,51.1,67.9,16.2,0.5,5.3,0.2,28.5,47.4,698995,4.9,3.6,7.8,9.1,12.4,18.9,13.4,15.9,6.9,7.3,9.7,2.86,85.6,31.5,39.5,60.5,2019977,73.3,10.7,64.7,68.1,6.7,14.9,13.7,13.3,6.0,5.1,6.6,3.0,1.2,Tarrant
"Anderson County, Texas: Summary level: 050, state:48> county:001",61.2,38.8,73.5,21.0,0.5,0.6,0.0,17.5,59.3,16459,5.9,7.4,13.7,13.1,16.2,19.7,11.2,8.7,2.6,1.5,11.4,2.69,80.1,11.7,29.1,70.9,57863,80.6,14.2,40.1,41.5,6.2,15.2,17.1,14.3,5.6,6.2,8.4,4.3,1.5,Anderson
"Ellis County, Texas: Summary level: 050, state:48> county:139",49.3,50.7,81.4,9.7,1.0,0.7,0.0,25.9,61.7,55840,3.5,3.3,6.7,7.7,11.0,19.4,15.2,18.4,8.6,6.2,7.0,2.99,85.7,23.1,27.0,73.0,168838,73.0,12.3,63.8,66.2,6.3,12.7,13.2,13.6,6.7,5.5,7.7,3.6,1.0,Ellis
"Jackson County, Texas: Summary level: 050, state:48> county:239",48.8,51.2,86.2,6.6,0.0,0.9,0.1,32.9,58.8,5237,7.8,3.3,9.6,6.7,12.7,21.6,18.4,11.2,5.3,3.3,10.4,2.79,83.2,16.1,31.9,68.1,14820,74.4,16.8,57.7,60.2,6.0,11.1,13.5,11.4,7.6,6.1,8.8,5.3,2.7,Jackson
"Kerr County, Texas: Summary level: 050, state:48> county:265",48.4,51.6,89.4,1.5,0.8,0.9,0.1,26.7,69.1,20766,4.8,3.9,10.6,12.3,16.6,18.5,13.7,11.6,4.7,3.3,9.6,2.39,88.5,25.6,27.9,72.1,51365,80.5,26.9,51.4,54.3,5.9,10.3,9.2,11.3,7.2,7.4,14.3,8.8,3.9,Kerr
"Milam County, Texas: Summary level: 050, state:48> county:331",50.0,50.0,84.5,9.8,0.1,0.5,0.0,26.2,62.5,9381,5.1,8.4,13.1,12.1,13.8,19.5,11.7,10.8,3.5,2.1,11.8,2.58,82.2,13.8,31.4,68.6,24664,75.4,19.7,51.5,53.8,5.6,11.2,9.4,12.8,6.4,7.5,11.5,5.7,2.5,Milam
"Comanche County, Texas: Summary level: 050, state:48> county:093",49.9,50.1,94.4,1.3,0.5,0.5,0.0,27.6,69.9,5260,7.5,6.3,11.6,10.1,17.0,19.0,12.1,12.9,1.7,1.7,12.3,2.53,83.8,19.8,20.7,79.3,13495,77.6,24.2,52.3,53.9,4.2,9.5,10.7,12.2,6.2,7.3,13.5,8.1,2.6,Comanche
"Falls County, Texas: Summary level: 050, state:48> county:145",47.3,52.7,72.2,24.3,0.4,0.4,0.0,23.0,51.3,5237,15.4,7.5,10.8,12.9,15.6,16.3,9.6,8.7,2.3,0.9,21.8,2.96,77.0,12.9,26.2,73.8,17299,78.7,17.2,41.3,44.1,6.8,14.3,11.1,14.0,7.2,5.9,9.2,5.2,2.8,Falls
"Brooks County, Texas: Summary level: 050, state:48> county:047",51.9,48.1,90.0,0.7,0.9,0.0,0.0,93.9,5.6,2052,19.1,5.1,19.2,15.5,10.0,14.9,6.6,8.8,0.4,0.4,33.9,3.23,70.1,17.6,37.6,62.4,7180,74.3,15.5,43.8,51.3,13.6,11.6,11.2,10.4,4.2,4.9,9.0,5.7,0.7,Brooks
"Austin County, Texas: Summary level: 050, state:48> county:015",49.7,50.3,80.5,8.9,0.2,0.3,0.0,26.4,62.7,11041,4.4,4.2,11.4,8.4,10.7,16.8,15.0,19.5,5.0,4.8,7.8,2.65,83.1,23.5,23.7,76.3,29565,76.0,18.2,59.1,62.0,5.8,11.3,11.1,12.9,7.9,6.7,11.0,5.2,2.1,Austin
"Kenedy County, Texas: Summary level: 050, state:48> county:261",48.1,51.9,96.3,0.0,0.0,0.2,0.0,87.7,12.1,209,12.0,1.9,23.4,6.2,34.0,7.7,11.0,3.8,0.0,0.0,6.5,2.82,33.7,6.8,66.0,34.0,595,71.9,22.9,51.4,51.4,1.7,16.0,7.9,12.6,8.6,1.5,14.3,4.9,3.7,Kenedy
"Colorado County, Texas: Summary level: 050, state:48> county:089",50.1,49.9,73.6,12.7,0.2,0.0,0.0,29.5,56.4,7511,5.1,5.1,11.9,11.9,16.6,17.9,12.4,9.0,5.7,4.4,7.4,2.75,81.5,18.6,18.2,81.8,21022,76.7,21.2,57.2,59.3,5.4,9.8,10.6,11.6,6.1,8.9,11.7,6.5,3.0,Colorado
"San Patricio County, Texas: Summary level: 050, state:48> county:409",50.3,49.7,92.4,1.7,0.3,1.0,0.1,57.4,38.8,23121,7.3,4.6,10.4,9.3,13.2,19.3,12.7,13.5,6.4,3.3,13.5,2.87,79.5,14.9,32.5,67.5,67046,72.9,14.4,57.0,59.9,6.6,13.3,12.4,12.0,6.6,5.0,8.6,4.4,1.4,San
"Randall County, Texas: Summary level: 050, state:48> county:381",49.1,50.9,89.5,2.9,0.4,1.6,0.1,20.9,72.5,49187,4.0,2.7,7.1,9.8,12.5,19.3,15.1,17.7,6.8,5.0,5.9,2.65,91.9,32.0,29.7,70.3,132475,75.9,14.3,67.7,70.0,6.9,14.6,12.7,11.8,6.2,6.0,8.3,4.4,1.6,Randall
"San Saba County, Texas: Summary level: 050, state:48> county:411",51.5,48.5,85.6,2.4,0.0,0.1,0.0,30.0,64.5,2104,7.2,7.2,14.6,11.3,14.3,20.2,10.0,7.8,5.8,1.7,8.6,2.5,74.2,14.4,33.3,66.7,5962,79.6,22.5,50.0,51.6,7.4,12.7,12.9,10.0,6.3,6.7,12.5,8.0,2.0,San
"Schleicher County, Texas: Summary level: 050, state:48> county:413",50.4,49.6,61.1,0.4,0.0,0.0,0.0,52.4,47.2,1105,10.4,3.6,8.8,12.9,11.9,20.7,14.7,11.1,4.8,1.1,10.9,2.77,78.5,16.5,21.2,78.8,3061,72.5,15.8,61.9,68.1,5.7,15.4,9.5,11.2,6.1,7.3,9.2,4.8,1.9,Schleicher
"Zavala County, Texas: Summary level: 050, state:48> county:507",51.2,48.8,93.6,0.5,0.0,0.0,0.0,93.7,5.0,3509,12.7,13.7,17.1,12.4,16.9,14.2,8.9,3.7,0.3,0.2,28.4,3.4,62.0,8.6,29.4,70.6,12131,70.5,13.7,51.0,55.6,9.7,12.2,11.7,11.2,5.5,4.7,7.9,4.5,1.4,Zavala
"Calhoun County, Texas: Summary level: 050, state:48> county:057",50.7,49.3,86.7,2.6,0.1,4.7,0.1,48.4,42.7,7604,7.4,3.7,8.9,10.7,14.6,19.4,11.6,15.8,6.0,2.0,8.6,2.83,80.7,15.0,29.2,70.8,21807,75.0,16.8,56.5,60.8,5.6,12.8,11.6,12.5,7.5,5.1,9.5,4.8,2.5,Calhoun
"Foard County, Texas: Summary level: 050, state:48> county:155",50.6,49.4,86.1,1.8,0.0,0.0,0.0,20.5,77.8,557,1.6,7.4,13.6,14.0,15.4,23.2,11.7,6.6,3.2,3.2,7.1,2.46,77.5,16.2,16.3,83.7,1408,81.4,26.9,53.8,59.8,3.3,6.2,12.9,15.2,7.4,5.8,11.5,11.4,4.0,Foard
"Goliad County, Texas: Summary level: 050, state:48> county:175",49.6,50.4,78.6,5.1,0.0,0.6,0.0,35.8,58.4,2681,9.2,6.5,11.0,9.1,7.6,15.2,11.7,17.8,7.3,4.6,10.7,2.77,87.6,17.6,15.7,84.3,7531,78.5,21.4,50.2,53.3,6.8,8.9,10.0,13.2,9.1,7.1,11.2,9.1,1.2,Goliad
"Hamilton County, Texas: Summary level: 050, state:48> county:193",49.2,50.8,94.9,0.5,0.7,0.3,0.0,12.3,84.7,3108,6.1,8.6,12.4,12.2,11.4,17.6,11.5,12.7,3.7,3.7,11.8,2.57,81.5,21.7,19.0,81.0,8269,79.4,25.2,53.2,53.9,4.9,10.1,10.8,11.2,7.8,6.6,12.7,7.2,5.2,Hamilton
"Mitchell County, Texas: Summary level: 050, state:48> county:335",62.9,37.1,78.9,11.0,1.0,0.4,0.0,39.5,48.6,2441,2.0,3.6,18.1,7.2,19.6,13.8,14.1,16.1,0.9,4.7,3.5,2.58,78.8,11.8,22.2,77.8,8558,80.7,15.2,38.2,40.5,11.5,18.9,13.5,10.8,5.1,3.9,7.5,5.2,2.5,Mitchell
