,male,female,white,black,native,asian,aapi,hispanic,non-hispanic white,income,less than 10k,10-15k,15-25,25-35,35-50,50-75k,75-100,100-150,150-200,200+,pct below PL,HH size,hs,college,rentals,owner-occupied,pop,over_18,over_65,employed,in civilian labor force,20-24,25-34,35-44,45-54,55-59,60-64,65-74,75-84,85+,County
"Atascosa County, Texas: Summary level: 050, state:48> county:013",50.0,50.0,92.8,0.3,0.2,0.3,0.0,63.9,33.9,15387,6.6,3.1,11.5,10.9,12.6,19.9,12.3,13.6,5.4,4.0,12.0,3.15,77.3,13.3,24.7,75.3,48828,72.2,14.2,54.8,59.6,6.2,12.9,12.4,12.1,5.9,5.8,8.4,4.3,1.5,Atascosa
"Nolan County, Texas: Summary level: 050, state:48> county:353",51.2,48.8,87.6,5.0,0.7,0.4,0.0,36.9,56.3,5469,7.3,5.5,15.5,11.8,14.1,16.3,12.8,10.8,2.9,2.9,11.0,2.68,81.1,15.5,32.9,67.1,14966,74.0,17.7,52.9,57.0,6.1,10.6,11.0,11.2,7.4,6.2,10.0,5.6,2.2,Nolan
"Hudspeth County, Texas: Summary level: 050, state:48> county:229",49.3,50.7,69.4,1.6,0.0,1.8,0.0,78.4,17.6,900,15.9,11.2,13.7,14.8,21.2,11.0,3.7,4.8,1.9,1.9,28.4,3.75,53.9,6.9,24.1,75.9,4098,76.1,15.6,35.1,38.3,6.7,15.8,8.5,12.4,8.2,6.4,9.4,5.2,1.0,Hudspeth
"Ward County, Texas: Summary level: 050, state:48> county:475",50.6,49.4,85.5,4.9,1.5,0.6,0.0,52.9,40.8,3956,7.9,5.2,9.6,6.8,10.3,18.1,18.3,14.2,5.0,4.6,10.5,2.9,78.7,13.6,29.0,71.0,11586,72.5,13.8,56.2,60.0,7.5,14.0,12.2,11.3,5.6,5.6,7.7,4.5,1.5,Ward
"Harrison County, Texas: Summary level: 050, state:48> county:203",48.8,51.2,73.7,21.1,0.4,0.7,0.0,12.9,63.6,23217,7.7,5.2,10.0,12.0,13.7,16.8,15.3,12.2,4.1,2.9,11.7,2.81,84.9,19.1,26.4,73.6,66645,74.4,16.0,54.7,57.9,6.0,11.8,12.2,12.4,6.9,6.4,9.7,4.4,1.9,Harrison
"Menard County, Texas: Summary level: 050, state:48> county:327",52.6,47.4,81.3,0.7,1.2,0.0,0.0,34.3,62.1,992,8.2,8.7,21.8,7.3,15.7,12.8,14.8,6.4,3.8,0.6,7.4,2.09,81.6,17.8,36.1,63.9,2123,85.7,26.6,61.6,63.6,2.6,14.0,8.3,16.6,7.6,7.7,15.4,8.2,3.0,Menard
"Fayette County, Texas: Summary level: 050, state:48> county:149",49.3,50.7,90.2,6.4,0.1,0.5,0.0,20.8,71.5,9067,5.9,7.3,9.8,9.2,13.7,18.7,13.0,12.5,3.8,6.1,5.8,2.71,84.2,18.1,19.5,80.5,25066,79.2,24.0,54.7,55.6,5.3,9.2,10.4,12.1,8.6,7.5,13.1,7.9,3.1,Fayette
"Williamson County, Texas: Summary level: 050, state:48> county:491",49.2,50.8,80.2,6.3,0.2,6.4,0.1,24.3,60.1,174754,2.5,2.0,4.8,6.8,10.6,17.9,15.1,21.5,10.0,8.8,4.5,2.99,93.2,41.1,31.2,68.8,527057,73.6,11.5,65.9,69.1,5.5,14.0,16.3,13.6,5.4,4.9,7.2,3.1,1.2,Williamson
"Hutchinson County, Texas: Summary level: 050, state:48> county:233",50.1,49.9,88.3,2.3,1.7,0.4,0.6,23.0,70.7,7191,7.5,7.3,10.1,9.2,15.4,16.4,12.9,13.1,6.0,2.1,11.8,2.98,85.5,13.8,19.1,80.9,21571,74.1,15.7,53.8,57.2,6.2,12.2,12.6,11.5,6.6,7.0,8.8,5.3,1.5,Hutchinson
"Morris County, Texas: Summary level: 050, state:48> county:343",48.1,51.9,69.3,23.7,0.6,0.1,0.0,9.5,64.8,5048,7.6,6.7,12.4,13.0,19.0,16.9,10.6,9.8,2.6,1.3,11.9,2.43,88.4,15.5,25.5,74.5,12424,77.1,21.2,52.0,56.9,5.1,11.1,12.0,11.0,7.0,7.4,11.2,7.2,2.8,Morris
"Orange County, Texas: Summary level: 050, state:48> county:361",49.5,50.5,87.5,8.5,0.4,1.2,0.0,7.3,81.0,31989,6.1,5.4,8.7,10.9,14.4,17.1,11.9,15.2,6.4,3.7,9.9,2.6,88.3,15.3,24.0,76.0,84047,75.2,15.4,56.6,59.9,6.3,12.7,12.2,13.2,7.1,6.2,8.9,4.8,1.7,Orange
"Winkler County, Texas: Summary level: 050, state:48> county:495",51.0,49.0,88.2,4.6,1.4,0.0,0.0,60.1,36.0,2572,8.2,6.1,7.0,11.1,13.8,15.9,15.5,15.0,3.8,3.6,13.9,2.99,67.0,9.5,18.4,81.6,7802,69.7,11.4,56.8,59.3,7.0,12.1,12.5,12.1,5.7,4.6,6.0,3.8,1.6,Winkler
"Harris County, Texas: Summary level: 050, state:48> county:201",49.7,50.3,62.8,19.0,0.4,7.0,0.1,42.6,30.1,1583486,6.1,4.1,9.4,9.8,12.7,17.5,11.7,14.2,6.2,8.4,13.4,2.88,80.9,31.0,45.3,54.7,4602523,73.1,9.8,63.6,67.7,7.0,16.2,14.3,12.5,5.7,5.0,6.1,2.7,1.0,Harris
"Burnet County, Texas: Summary level: 050, state:48> county:053",49.5,50.5,92.0,1.8,0.7,0.8,0.0,22.1,73.8,16849,3.4,4.1,11.0,10.0,13.2,20.6,14.0,14.2,3.9,5.5,7.8,2.68,88.1,25.1,24.7,75.3,45750,78.5,21.7,55.1,57.7,6.0,9.7,11.5,12.0,7.6,7.7,13.0,6.7,2.1,Burnet
