,male,female,white,black,native,asian,aapi,hispanic,non-hispanic white,income,less than 10k,10-15k,15-25,25-35,35-50,50-75k,75-100,100-150,150-200,200+,pct below PL,HH size,hs,college,rentals,owner-occupied,pop,over_18,over_65,employed,in civilian labor force,20-24,25-34,35-44,45-54,55-59,60-64,65-74,75-84,85+,County
"San Jacinto County, Texas: Summary level: 050, state:48> county:407",48.8,51.2,86.3,10.5,0.6,0.7,0.0,12.3,75.1,9631,7.1,8.2,13.0,12.2,13.8,16.4,12.5,11.3,2.7,2.6,11.7,2.81,82.8,10.0,14.3,85.7,27172,77.3,19.3,48.8,52.7,4.1,9.9,11.8,12.6,8.3,7.9,11.8,6.3,1.2,San
"Upshur County, Texas: Summary level: 050, state:48> county:459",49.4,50.6,84.7,8.7,0.6,0.5,0.0,7.7,80.9,13941,7.2,6.0,10.8,11.6,16.4,18.2,11.4,12.9,2.8,2.8,9.2,2.85,83.4,15.8,21.6,78.4,40295,75.7,16.8,52.4,56.8,5.6,10.8,11.6,13.7,7.6,6.8,9.8,5.3,1.7,Upshur
"Waller County, Texas: Summary level: 050, state:48> county:473",50.0,50.0,67.1,25.4,0.3,0.9,0.0,29.0,43.2,14082,7.2,5.1,11.1,10.8,13.4,17.9,11.9,12.8,5.3,4.4,12.0,2.97,78.4,18.7,31.6,68.4,47049,76.0,11.4,55.1,60.5,12.6,10.0,9.9,11.6,6.6,4.2,7.4,2.6,1.5,Waller
"Wilson County, Texas: Summary level: 050, state:48> county:493",50.2,49.8,93.9,1.4,0.3,0.3,0.1,38.8,58.1,15474,4.3,4.1,9.4,8.4,10.3,17.3,15.8,19.3,7.0,4.2,7.0,2.96,84.9,19.3,16.5,83.5,46444,75.2,14.6,57.1,60.9,5.7,10.8,12.4,15.2,7.2,6.7,8.8,3.7,2.1,Wilson
"Hockley County, Texas: Summary level: 050, state:48> county:219",49.3,50.7,87.7,3.8,1.0,0.3,0.0,46.4,48.0,8103,8.4,4.4,10.1,13.3,13.3,21.5,10.8,11.5,3.6,3.0,11.3,2.8,78.2,14.7,32.6,67.4,23377,73.5,13.5,59.4,64.0,8.3,13.3,10.9,11.8,5.9,5.7,7.7,4.3,1.6,Hockley
"Midland County, Texas: Summary level: 050, state:48> county:329",50.0,50.0,82.8,6.2,0.4,1.8,0.0,42.3,48.5,53960,3.2,2.9,7.2,9.0,12.3,17.5,12.2,17.6,7.6,10.3,5.7,2.85,83.4,26.2,33.5,66.5,155817,72.2,10.1,67.9,70.4,7.5,16.9,12.1,11.8,6.1,5.1,5.4,3.3,1.5,Midland
"Llano County, Texas: Summary level: 050, state:48> county:299",48.5,51.5,94.7,1.3,0.1,0.3,0.0,9.6,87.4,8796,6.2,6.6,14.0,11.9,12.3,16.9,10.5,11.0,4.6,6.1,9.7,2.21,86.5,26.6,23.8,76.2,19624,84.6,34.3,42.3,45.8,3.8,7.3,7.5,12.5,7.5,10.1,19.0,11.4,3.9,Llano
"Fannin County, Texas: Summary level: 050, state:48> county:147",52.8,47.2,88.1,6.8,0.3,0.5,0.1,10.4,79.7,12022,9.4,6.5,12.3,11.3,13.9,17.8,14.2,10.1,3.0,1.5,12.4,2.55,83.0,15.6,25.0,75.0,33757,78.9,18.6,47.8,51.1,6.1,11.8,12.1,14.4,7.2,6.2,10.7,5.5,2.4,Fannin
"Brazos County, Texas: Summary level: 050, state:48> county:041",50.7,49.3,74.1,10.6,0.4,6.0,0.0,24.6,57.3,75797,13.8,6.1,12.0,10.6,13.4,14.5,10.5,10.7,4.2,4.3,14.2,2.57,85.6,39.8,55.0,45.0,209896,79.4,8.2,59.1,62.7,21.7,15.6,10.3,9.1,4.1,3.8,4.7,2.4,1.1,Brazos
"Gaines County, Texas: Summary level: 050, state:48> county:165",51.0,49.0,91.7,2.3,0.4,0.5,0.1,39.7,57.0,5630,6.7,3.6,8.4,8.3,15.2,19.6,16.4,13.1,5.5,3.1,7.6,3.44,60.4,10.5,24.3,75.7,19485,64.8,9.2,60.4,63.2,6.7,13.6,11.8,11.5,5.1,4.1,4.7,3.3,1.3,Gaines
"Gray County, Texas: Summary level: 050, state:48> county:179",52.7,47.3,84.7,4.6,1.5,0.6,0.1,27.4,65.0,8201,6.6,5.2,14.1,13.2,14.5,18.2,12.0,11.9,3.0,1.4,11.6,2.61,80.3,13.6,27.2,72.8,23028,74.7,15.6,53.0,55.9,5.9,14.0,13.2,12.7,6.6,4.8,8.2,5.2,2.2,Gray
"Jack County, Texas: Summary level: 050, state:48> county:237",56.8,43.2,92.7,4.5,0.4,0.0,0.0,15.9,78.4,3066,7.0,5.1,9.3,12.9,15.3,17.0,11.5,14.3,3.7,3.9,11.5,2.5,78.9,10.8,20.2,79.8,8866,78.4,15.7,44.1,46.3,7.8,14.2,12.5,14.3,6.2,5.9,9.0,4.3,2.4,Jack
"Bosque County, Texas: Summary level: 050, state:48> county:035",49.3,50.7,94.3,1.4,0.4,0.4,0.0,17.0,79.3,7098,4.9,6.5,15.9,12.0,15.4,18.2,12.1,10.1,1.9,3.1,11.1,2.48,82.3,17.7,22.9,77.1,17953,78.1,23.4,49.8,53.3,4.9,9.3,10.2,13.3,7.4,7.6,13.1,7.7,2.7,Bosque
"Bexar County, Texas: Summary level: 050, state:48> county:029",49.2,50.8,78.4,7.6,0.7,2.7,0.1,59.5,28.9,623321,7.5,4.9,10.7,10.5,14.0,19.0,12.0,12.8,4.4,4.3,13.6,2.93,83.4,26.9,41.7,58.3,1858699,73.8,11.3,59.5,63.8,7.8,15.6,13.3,12.5,5.6,4.8,6.5,3.4,1.3,Bexar
"Baylor County, Texas: Summary level: 050, state:48> county:023",48.3,51.7,92.9,1.8,0.5,0.0,0.0,8.4,86.6,1703,13.1,5.7,15.0,17.5,13.8,13.9,7.9,5.5,2.1,5.5,8.6,2.09,86.9,26.6,23.0,77.0,3639,78.6,24.4,48.3,48.9,4.9,5.7,10.8,17.2,8.5,5.6,12.7,9.6,2.1,Baylor
"Denton County, Texas: Summary level: 050, state:48> county:121",49.2,50.8,76.6,9.1,0.4,7.5,0.1,18.9,61.6,265790,3.9,2.6,6.1,7.6,11.0,17.5,13.4,19.2,9.1,9.4,5.8,2.79,92.0,42.2,35.9,64.1,754650,73.9,8.7,69.4,73.2,6.9,15.0,15.7,14.6,5.9,4.4,5.7,2.2,0.8,Denton
"Galveston County, Texas: Summary level: 050, state:48> county:167",49.4,50.6,77.9,13.1,0.4,3.3,0.0,23.6,58.3,115685,6.5,4.3,9.6,8.3,12.0,15.6,11.7,15.9,8.1,7.9,10.2,2.67,87.6,28.9,33.8,66.2,314485,75.3,12.8,59.6,64.2,6.3,13.2,13.0,14.3,7.0,6.2,7.7,3.7,1.4,Galveston
"Roberts County, Texas: Summary level: 050, state:48> county:393",48.7,51.3,98.4,0.0,0.0,0.4,0.0,2.9,95.8,342,2.0,1.2,7.6,6.7,11.1,23.4,20.2,17.3,8.8,1.8,1.1,2.75,93.9,31.5,21.1,78.9,939,69.6,16.6,61.8,63.4,2.6,14.5,10.8,10.8,3.8,9.5,10.3,5.4,0.9,Roberts
"Uvalde County, Texas: Summary level: 050, state:48> county:463",48.9,51.1,90.0,0.1,1.1,1.1,0.1,70.4,27.6,8512,9.7,8.2,14.9,12.3,14.2,18.6,11.2,8.1,0.8,2.1,17.2,3.12,69.3,14.9,28.7,71.3,27055,72.0,16.0,55.7,59.5,7.3,12.1,11.6,11.0,4.5,6.2,8.9,5.3,1.8,Uvalde
"Bowie County, Texas: Summary level: 050, state:48> county:037",50.4,49.6,69.2,24.4,0.8,1.0,0.0,7.2,64.8,33586,9.8,6.8,13.5,11.5,15.5,16.6,11.5,8.6,2.9,3.4,16.6,2.62,87.5,18.8,34.7,65.3,93483,76.1,15.4,49.3,53.7,6.5,13.4,13.0,13.2,6.5,5.7,8.7,4.7,2.0,Bowie
"Kent County, Texas: Summary level: 050, state:48> county:263",48.3,51.7,93.3,0.6,1.0,0.0,0.0,17.4,81.7,284,10.6,6.3,11.3,9.5,12.0,21.1,12.3,10.2,4.2,2.5,6.7,2.17,78.3,23.9,28.9,71.1,667,79.8,28.5,59.2,60.5,2.2,11.7,7.6,11.5,8.1,7.2,18.1,3.6,6.7,Kent
"Somervell County, Texas: Summary level: 050, state:48> county:425",49.2,50.8,93.6,0.5,0.7,0.0,0.6,19.1,78.9,3241,3.9,8.3,15.1,6.3,15.9,17.1,13.6,11.3,3.5,5.0,17.5,2.58,82.7,19.2,28.9,71.1,8673,76.3,18.3,53.4,55.4,5.9,10.9,12.7,13.0,6.8,6.6,11.2,4.6,2.5,Somervell
"Hardin County, Texas: Summary level: 050, state:48> county:199",49.4,50.6,92.1,5.6,0.1,0.6,0.0,5.2,87.2,20408,6.9,5.5,10.3,8.6,14.0,18.0,12.1,15.1,4.8,4.5,9.6,2.7,86.9,16.1,20.5,79.5,55624,75.1,15.3,55.5,58.3,5.8,12.5,12.7,13.2,7.0,6.2,9.3,4.4,1.7,Hardin
"Leon County, Texas: Summary level: 050, state:48> county:289",49.7,50.3,89.3,7.5,0.4,0.5,0.0,14.0,76.6,6279,6.8,6.4,12.8,12.5,14.4,14.8,13.4,10.7,4.8,3.3,12.2,2.68,84.5,16.7,20.0,80.0,16923,77.2,23.1,49.8,53.9,4.9,9.2,11.1,11.6,7.7,7.2,13.9,6.2,3.0,Leon
"Newton County, Texas: Summary level: 050, state:48> county:351",50.1,49.9,76.9,21.1,0.3,0.4,0.0,3.4,73.5,4629,7.6,8.6,19.6,11.2,15.1,15.8,12.0,6.8,2.0,1.4,10.5,3.02,86.7,7.5,22.4,77.6,14138,78.6,17.7,38.6,44.9,7.0,10.3,10.9,12.8,5.5,8.5,10.6,5.8,1.3,Newton
