,male,female,white,black,native,asian,aapi,hispanic,non-hispanic white,income,less than 10k,10-15k,15-25,25-35,35-50,50-75k,75-100,100-150,150-200,200+,pct below PL,HH size,hs,college,rentals,owner-occupied,pop,over_18,over_65,employed,in civilian labor force,20-24,25-34,35-44,45-54,55-59,60-64,65-74,75-84,85+,County
"Reeves County, Texas: Summary level: 050, state:48> county:389",60.1,39.9,78.3,4.6,0.8,1.1,0.0,74.8,18.4,3764,10.9,8.5,10.0,10.2,12.5,19.6,10.9,11.5,3.9,2.0,13.2,3.08,61.0,11.2,29.3,70.7,14438,77.3,12.9,42.7,46.3,8.0,16.2,14.8,13.3,5.7,3.7,6.4,4.3,2.2,Reeves
"Travis County, Texas: Summary level: 050, state:48> county:453",50.4,49.6,76.2,8.3,0.5,6.2,0.1,33.7,49.7,437831,6.2,3.6,8.2,8.4,12.6,17.9,12.4,15.1,6.5,9.0,10.2,2.57,88.2,46.4,48.0,52.0,1148176,77.0,8.5,68.4,72.2,7.4,19.8,15.7,12.7,5.5,4.7,5.2,2.3,1.0,Travis
"Collingsworth County, Texas: Summary level: 050, state:48> county:087",50.7,49.3,80.6,3.7,4.7,0.1,0.0,32.8,58.3,1097,5.1,5.4,14.7,18.6,16.5,18.2,11.3,4.3,3.7,2.2,17.4,2.7,77.0,17.0,23.6,76.4,3032,74.0,17.6,58.6,61.6,4.7,13.8,11.3,11.0,7.4,6.2,10.1,3.8,3.8,Collingsworth
"Erath County, Texas: Summary level: 050, state:48> county:143",49.1,50.9,91.8,1.6,0.5,0.7,0.0,20.2,75.9,14197,15.2,5.3,10.6,12.1,14.4,18.1,9.9,8.8,3.3,2.2,14.3,2.73,83.9,28.2,39.1,60.9,40641,78.8,13.6,58.5,61.0,14.8,11.8,10.0,11.1,5.0,5.1,7.6,4.1,2.0,Erath
"Motley County, Texas: Summary level: 050, state:48> county:345",52.9,47.1,95.7,0.3,0.0,0.0,0.0,11.2,86.4,475,8.0,9.7,16.0,15.4,18.9,10.7,10.3,7.8,1.7,1.5,8.0,2.15,88.4,17.4,30.7,69.3,1022,79.6,30.7,52.9,58.8,7.2,9.5,6.1,13.0,5.1,4.8,17.4,10.1,3.2,Motley
"Coleman County, Texas: Summary level: 050, state:48> county:083",50.5,49.5,92.6,2.8,0.8,0.8,0.0,17.3,77.7,3407,7.7,7.3,12.8,12.8,24.1,14.5,9.0,6.2,1.2,4.4,12.2,2.47,82.6,14.2,27.8,72.2,8476,78.1,22.3,48.7,51.8,4.2,9.3,9.6,13.9,7.7,8.8,12.7,7.6,2.0,Coleman
"Medina County, Texas: Summary level: 050, state:48> county:325",52.4,47.6,90.6,2.3,0.5,0.5,0.0,50.8,45.1,15104,7.4,4.8,10.4,9.2,11.4,18.3,14.0,15.2,5.1,4.2,10.6,3.01,82.5,19.4,19.1,80.9,47920,76.0,15.3,54.0,57.4,7.0,11.8,11.8,14.1,7.2,5.9,9.1,4.6,1.6,Medina
"Henderson County, Texas: Summary level: 050, state:48> county:213",48.7,51.3,89.4,6.8,0.8,0.7,0.1,11.8,79.3,29785,7.8,6.2,13.6,12.9,15.9,17.3,11.6,9.5,2.7,2.4,14.0,2.62,82.9,17.5,25.2,74.8,79213,77.9,20.8,48.0,51.6,5.8,10.4,11.0,13.2,7.6,6.8,12.2,6.4,2.2,Henderson
"Lamar County, Texas: Summary level: 050, state:48> county:277",48.3,51.7,81.2,12.3,0.3,0.8,0.3,7.2,75.3,19077,12.0,7.0,11.5,12.3,16.3,17.6,10.1,8.5,2.2,2.4,15.6,2.56,84.5,16.7,35.5,64.5,49626,76.4,18.2,53.0,57.0,6.4,11.4,11.9,13.3,6.8,5.9,10.5,5.6,2.1,Lamar
"Kimble County, Texas: Summary level: 050, state:48> county:267",48.6,51.4,93.1,0.0,0.2,0.0,0.1,22.6,76.0,2119,9.5,6.3,14.5,12.8,15.2,22.5,8.3,4.5,3.4,3.0,14.2,2.07,83.1,17.0,25.7,74.3,4453,83.0,30.6,55.6,59.2,3.3,7.5,9.4,11.6,9.0,9.5,16.8,8.7,5.1,Kimble
"Washington County, Texas: Summary level: 050, state:48> county:477",49.9,50.1,77.9,16.9,0.7,2.0,0.1,15.1,64.8,11984,7.0,5.2,11.1,10.3,13.5,20.9,15.6,9.5,3.7,3.3,10.4,2.69,82.6,22.0,23.6,76.4,34544,78.2,19.9,52.5,55.1,6.7,9.7,10.9,12.5,7.1,6.7,10.7,6.1,3.1,Washington
"Stephens County, Texas: Summary level: 050, state:48> county:429",54.1,45.9,89.6,2.5,1.9,0.4,0.0,23.3,71.9,3338,8.1,8.3,13.3,11.2,15.3,16.5,11.7,9.9,2.9,2.8,18.1,2.75,77.1,16.9,22.4,77.6,9787,77.5,18.2,49.0,52.2,7.1,12.8,11.5,12.4,5.7,6.6,10.2,5.4,2.5,Stephens
"Andrews County, Texas: Summary level: 050, state:48> county:003",50.7,49.3,92.5,2.0,0.1,0.2,0.0,54.4,42.1,5392,3.7,4.2,8.1,11.1,10.2,17.2,15.2,17.2,7.8,5.4,9.3,3.17,73.8,10.6,27.8,72.2,17215,69.2,10.2,63.2,66.6,6.8,14.1,12.6,12.6,5.2,4.6,5.2,3.8,1.2,Andrews
"Gonzales County, Texas: Summary level: 050, state:48> county:177",50.5,49.5,56.7,6.2,0.2,0.1,0.0,49.6,42.8,6611,8.0,9.2,11.1,11.6,12.7,20.1,9.7,11.6,2.1,3.7,13.4,3.03,72.5,13.7,32.1,67.9,20370,73.1,16.1,56.7,60.6,6.6,11.4,11.0,12.9,7.1,5.4,9.5,4.2,2.4,Gonzales
"Lynn County, Texas: Summary level: 050, state:48> county:305",50.5,49.5,83.0,2.2,1.1,0.3,0.1,47.4,49.2,2157,11.9,4.9,12.6,11.3,17.1,13.2,11.0,12.1,2.4,3.6,15.8,2.64,77.9,17.2,29.0,71.0,5723,73.7,16.1,53.6,60.3,5.2,11.1,11.1,13.9,6.7,5.9,8.4,6.0,1.6,Lynn
"Zapata County, Texas: Summary level: 050, state:48> county:505",50.1,49.9,95.6,1.0,0.0,0.0,0.0,94.1,5.9,4501,17.2,5.7,12.7,12.4,17.6,12.8,9.5,9.8,1.6,0.7,26.7,3.18,50.3,8.3,23.1,76.9,14335,66.2,11.7,52.4,60.0,8.8,13.3,11.8,10.2,4.4,4.2,7.1,3.7,1.0,Zapata
"Hood County, Texas: Summary level: 050, state:48> county:221",49.3,50.7,95.1,0.7,0.8,0.7,0.0,11.6,85.3,21040,5.1,4.1,10.4,10.6,12.9,20.4,11.2,14.0,6.0,5.4,7.9,2.54,88.2,25.8,23.5,76.5,54217,78.9,23.9,50.9,52.7,4.8,10.2,9.8,12.8,7.7,7.4,13.6,7.7,2.5,Hood
"King County, Texas: Summary level: 050, state:48> county:269",51.5,48.5,100.0,0.0,0.0,0.0,0.0,23.4,76.6,114,0.0,5.3,9.6,14.9,15.8,18.4,15.8,13.2,0.0,7.0,4.5,2.4,80.6,23.2,73.7,26.3,274,79.6,12.4,71.6,74.7,2.6,22.3,10.6,16.8,10.2,4.7,7.3,4.0,1.1,King
"Cherokee County, Texas: Summary level: 050, state:48> county:073",50.9,49.1,79.9,13.9,0.3,0.6,0.0,22.1,61.5,17683,8.5,6.7,16.1,12.3,15.6,17.8,8.4,8.4,4.0,2.1,17.3,2.74,79.6,17.4,26.2,73.8,51257,74.5,16.4,50.3,53.6,6.7,11.5,12.3,12.4,6.3,6.1,9.3,5.1,1.9,Cherokee
"Delta County, Texas: Summary level: 050, state:48> county:119",48.7,51.3,85.0,8.7,0.2,0.7,0.0,6.7,81.4,1971,9.2,7.2,12.2,17.1,12.0,19.8,9.1,9.5,1.8,2.1,15.3,2.61,86.3,18.6,26.4,73.6,5226,77.8,21.1,46.0,50.7,5.8,10.1,10.5,13.1,7.8,6.9,12.2,6.0,2.9,Delta
"Jones County, Texas: Summary level: 050, state:48> county:253",64.3,35.7,70.0,14.7,0.9,0.4,0.0,26.8,55.8,5580,8.2,7.0,11.6,9.8,16.7,19.6,11.2,8.4,3.9,3.5,14.0,2.3,77.3,11.0,25.4,74.6,19944,84.1,14.3,31.4,32.6,8.2,18.2,15.9,14.2,6.9,4.7,8.3,4.1,2.0,Jones
"Jim Wells County, Texas: Summary level: 050, state:48> county:249",49.0,51.0,95.1,0.6,0.3,0.4,0.1,79.9,18.6,13557,11.0,6.8,15.0,10.0,10.4,18.3,9.5,12.5,4.3,2.2,15.7,3.03,73.4,10.7,30.2,69.8,41486,71.6,14.1,52.6,56.1,6.5,13.2,11.5,11.9,5.7,5.7,8.0,4.3,1.8,Jim
"Dallam County, Texas: Summary level: 050, state:48> county:111",52.9,47.1,90.8,1.4,1.9,0.9,0.0,42.6,52.1,2360,5.4,4.5,11.0,17.8,15.9,22.5,13.9,4.3,2.8,1.8,13.5,2.97,72.7,11.8,42.3,57.7,7052,68.7,8.5,68.5,72.0,6.1,15.2,12.7,11.2,6.1,4.5,5.0,2.7,0.8,Dallam
"Fort Bend County, Texas: Summary level: 050, state:48> county:157",49.1,50.9,52.1,20.8,0.3,18.8,0.0,24.0,34.9,214126,3.2,2.0,5.1,6.1,9.2,15.9,12.9,20.5,10.9,14.2,6.4,3.17,89.2,44.6,22.0,78.0,683756,71.9,9.5,63.2,66.9,5.8,12.4,15.3,14.4,6.8,5.1,6.2,2.5,0.8,Fort
"Irion County, Texas: Summary level: 050, state:48> county:235",51.4,48.6,87.7,0.0,0.0,0.0,0.0,23.2,74.2,632,3.8,4.0,8.5,10.3,9.5,21.4,19.1,11.9,5.9,5.7,9.3,2.58,91.7,15.7,23.6,76.4,1631,74.5,17.0,61.1,63.2,6.6,10.4,8.5,15.3,6.7,8.2,9.1,6.1,1.8,Irion
"Willacy County, Texas: Summary level: 050, state:48> county:489",53.1,46.9,96.2,0.7,0.2,0.1,0.0,87.8,11.1,5798,18.9,10.2,16.1,13.2,12.1,13.3,7.2,6.6,1.5,0.9,35.5,3.43,63.1,8.6,21.8,78.2,21944,74.9,14.0,35.5,41.0,9.2,14.6,13.3,10.5,5.2,4.7,8.4,4.2,1.4,Willacy
"Dawson County, Texas: Summary level: 050, state:48> county:115",56.2,43.8,77.6,5.9,2.2,0.6,0.0,55.6,37.3,4329,9.7,6.1,14.5,10.9,14.5,16.5,12.1,10.7,1.8,3.3,12.6,2.64,74.1,12.6,28.5,71.5,13317,75.7,14.4,46.3,50.0,8.6,17.7,11.8,11.0,5.3,4.5,7.5,5.0,1.9,Dawson
"Polk County, Texas: Summary level: 050, state:48> county:373",53.7,46.3,84.3,10.6,1.4,0.6,0.1,14.3,71.3,17790,8.5,6.1,14.2,13.7,15.1,18.0,10.3,9.5,2.1,2.5,13.7,2.39,80.5,12.0,23.6,76.4,46583,79.5,19.6,44.0,48.6,5.6,11.7,11.4,13.5,7.5,7.9,12.6,5.4,1.6,Polk
"Refugio County, Texas: Summary level: 050, state:48> county:391",49.2,50.8,81.2,5.0,0.2,0.1,0.0,49.3,42.8,2761,8.5,7.4,12.3,9.2,12.4,21.4,11.1,12.0,3.2,2.6,14.9,2.59,79.8,10.8,27.1,72.9,7315,76.5,21.1,52.6,56.8,6.1,9.9,10.9,13.3,7.8,5.1,11.6,6.9,2.5,Refugio
"Van Zandt County, Texas: Summary level: 050, state:48> county:467",49.2,50.8,93.2,2.6,0.7,0.4,0.1,10.0,84.6,19059,7.4,6.3,13.7,10.9,15.2,17.1,11.6,11.2,4.0,2.6,11.1,2.75,82.3,16.3,22.1,77.9,53070,76.8,19.9,52.5,55.8,5.5,9.6,11.4,13.7,7.1,7.1,11.5,6.4,2.1,Van
"Caldwell County, Texas: Summary level: 050, state:48> county:055",50.2,49.8,76.4,7.1,0.5,0.2,0.0,49.8,41.8,12664,6.6,4.6,11.5,10.7,17.3,19.7,12.8,11.4,3.2,2.1,12.8,2.84,79.1,14.7,33.8,66.2,39848,75.7,13.3,55.3,57.9,8.7,12.9,12.4,13.1,6.6,5.6,7.9,3.5,1.9,Caldwell
"Wilbarger County, Texas: Summary level: 050, state:48> county:487",49.8,50.2,83.9,9.3,1.0,0.5,0.0,28.1,60.2,5219,8.9,9.1,12.2,12.1,12.6,22.5,11.9,7.2,2.6,1.0,11.5,2.38,78.0,15.5,36.5,63.5,13061,76.4,16.6,60.8,64.7,6.3,12.3,10.9,13.3,8.5,5.1,9.3,5.6,1.7,Wilbarger
"Martin County, Texas: Summary level: 050, state:48> county:317",51.1,48.9,82.9,0.7,2.4,0.0,0.1,46.1,52.5,1629,5.4,3.6,10.9,11.7,10.7,14.9,12.7,13.0,8.8,8.3,8.9,3.3,77.3,19.3,24.9,75.1,5451,70.1,12.5,61.7,63.8,7.4,12.2,11.3,13.7,4.3,5.1,8.1,2.8,1.6,Martin
"Reagan County, Texas: Summary level: 050, state:48> county:383",53.3,46.7,49.9,1.8,0.0,0.0,0.0,66.0,31.9,1190,5.4,8.1,8.9,6.9,9.1,20.4,13.4,20.9,2.3,4.6,12.8,3.02,71.5,11.5,30.0,70.0,3625,72.2,10.5,63.2,66.0,4.9,14.7,13.4,11.6,8.7,5.8,5.5,3.3,1.7,Reagan
"Yoakum County, Texas: Summary level: 050, state:48> county:501",50.8,49.2,94.1,0.6,0.3,0.3,0.0,63.6,34.3,2674,4.6,7.9,7.1,7.0,18.3,21.5,10.5,17.2,2.6,3.2,10.4,3.11,71.4,17.8,23.1,76.9,8316,67.7,11.4,61.5,67.7,6.3,11.9,12.9,11.4,7.7,3.2,6.5,4.8,0.1,Yoakum
"Hale County, Texas: Summary level: 050, state:48> county:189",51.9,48.1,85.0,4.4,0.7,0.4,0.0,58.4,35.1,11335,8.6,7.5,11.5,11.2,17.6,20.3,11.5,9.0,1.1,1.8,16.2,2.88,75.4,15.8,38.8,61.2,35007,72.0,12.7,55.5,59.3,8.2,13.7,11.6,12.1,5.9,4.5,6.9,4.1,1.7,Hale
"Shelby County, Texas: Summary level: 050, state:48> county:419",49.1,50.9,79.5,17.9,0.1,1.4,0.1,17.6,62.7,9120,12.7,6.3,16.5,12.8,15.4,15.2,8.8,7.2,2.5,2.5,18.5,2.8,75.4,15.3,28.8,71.2,25705,73.1,15.9,48.4,53.6,7.2,11.2,11.7,12.6,6.5,5.9,9.0,5.2,1.7,Shelby
"Red River County, Texas: Summary level: 050, state:48> county:387",47.5,52.5,79.2,17.4,0.5,0.0,0.0,7.2,73.3,5163,8.8,10.9,15.8,14.5,16.7,14.7,7.6,7.5,2.0,1.6,12.9,2.37,80.4,13.4,25.9,74.1,12455,79.9,22.7,46.9,50.4,5.3,10.4,10.4,13.3,8.1,6.9,13.5,6.4,2.8,Red
"Runnels County, Texas: Summary level: 050, state:48> county:399",49.8,50.2,91.0,1.4,0.5,1.3,0.0,33.5,62.8,3792,7.8,5.9,14.6,14.2,17.0,14.6,10.2,10.9,2.7,2.1,13.6,2.69,78.8,18.1,25.7,74.3,10411,76.2,20.8,51.9,54.4,6.6,9.9,11.1,12.2,6.6,7.2,11.1,6.0,3.7,Runnels
"Sutton County, Texas: Summary level: 050, state:48> county:435",53.2,46.8,75.2,0.5,0.2,0.0,0.4,58.4,40.7,1481,4.6,5.2,14.4,7.6,15.5,19.4,7.1,16.9,4.7,4.7,7.1,2.64,76.6,16.8,33.8,66.2,3936,72.4,16.5,59.2,63.4,5.6,12.7,11.0,13.1,6.7,4.4,10.3,5.0,1.1,Sutton
"Tom Green County, Texas: Summary level: 050, state:48> county:451",49.5,50.5,86.4,4.3,0.3,1.3,0.0,38.1,55.1,43311,6.1,6.0,11.6,12.3,15.8,19.0,12.1,10.6,2.8,3.5,9.6,2.54,83.3,22.4,39.1,60.9,116264,76.5,14.4,57.1,59.4,9.1,15.4,10.7,11.5,5.9,5.8,7.8,4.8,1.8,Tom
"Victoria County, Texas: Summary level: 050, state:48> county:469",49.0,51.0,86.7,6.6,0.2,1.3,0.1,45.5,46.0,32513,6.0,4.8,10.6,9.4,15.2,18.0,12.4,15.5,4.1,4.0,11.1,2.76,83.6,18.8,34.7,65.3,90989,74.1,14.6,61.4,64.9,6.9,13.6,11.8,12.2,6.4,5.9,8.3,4.3,2.1,Victoria
"Wharton County, Texas: Summary level: 050, state:48> county:481",49.1,50.9,81.4,14.1,0.1,0.1,0.0,39.6,45.8,14979,6.9,8.7,13.2,9.5,14.5,19.4,10.2,11.9,3.9,1.9,14.4,2.73,78.0,14.5,32.3,67.7,41377,74.0,15.8,58.0,61.5,6.3,12.1,11.2,12.8,6.9,6.1,8.5,4.9,2.4,Wharton
"Wichita County, Texas: Summary level: 050, state:48> county:485",51.9,48.1,79.8,10.2,0.9,2.2,0.0,18.2,66.7,48615,8.6,7.0,12.1,11.2,15.3,19.0,11.5,9.9,3.0,2.4,14.5,2.41,86.0,22.2,39.7,60.3,132148,77.5,13.9,52.8,55.8,9.5,15.0,11.3,11.8,6.2,5.5,7.3,4.4,2.1,Wichita
"Borden County, Texas: Summary level: 050, state:48> county:033",53.6,46.4,98.1,0.0,1.6,0.0,0.0,4.7,93.6,251,3.6,2.4,5.2,4.8,10.0,19.1,22.3,23.1,1.2,8.4,1.1,2.78,93.3,36.5,29.9,70.1,698,69.8,19.3,55.6,56.2,3.0,18.2,10.5,8.7,5.0,4.2,10.5,7.3,1.6,Borden
"Marion County, Texas: Summary level: 050, state:48> county:315",49.2,50.8,74.3,23.8,0.3,0.8,0.0,3.8,70.8,4387,12.4,8.7,14.3,13.7,15.5,15.5,8.2,6.7,1.4,3.5,14.5,2.29,80.3,12.7,21.5,78.5,10191,81.8,23.6,43.6,47.9,3.5,9.9,10.7,14.8,7.5,9.5,13.6,7.8,2.2,Marion
"Maverick County, Texas: Summary level: 050, state:48> county:323",49.5,50.5,92.8,0.2,1.1,0.5,0.0,95.4,2.8,16221,11.5,8.8,15.7,11.4,13.7,14.8,11.3,8.7,2.6,1.5,22.1,3.47,58.7,11.7,31.3,68.7,56830,67.8,11.3,51.7,58.9,8.1,12.3,12.1,11.0,5.1,4.3,6.4,3.9,1.0,Maverick
