,male,female,white,black,native,asian,aapi,hispanic,non-hispanic white,income,less than 10k,10-15k,15-25,25-35,35-50,50-75k,75-100,100-150,150-200,200+,pct below PL,HH size,hs,college,rentals,owner-occupied,pop,over_18,over_65,employed,in civilian labor force,20-24,25-34,35-44,45-54,55-59,60-64,65-74,75-84,85+,County
"Anderson County, Texas: Summary level: 050, state:48> county:001",59.8,40.2,72.9,21.6,0.7,0.5,0.1,15.1,61.7,15904,10.6,8.1,12.2,12.3,15.3,16.5,12.3,8.3,2.1,2.3,12.3,2.86,74.8,11.3,26.3,73.7,58016,80.1,12.5,40.8,43.8,6.7,15.3,16.1,16.4,5.8,4.8,7.2,3.7,1.6,Anderson
"Andrews County, Texas: Summary level: 050, state:48> county:003",50.3,49.7,83.3,1.1,2.1,0.8,0.0,47.2,49.1,5205,7.7,4.3,11.3,13.0,14.7,16.5,11.7,12.9,3.8,4.1,12.4,2.7,72.7,12.4,20.1,79.9,14048,70.9,11.6,62.1,65.8,6.4,11.4,13.7,14.3,5.2,4.7,5.6,4.6,1.3,Andrews
"Angelina County, Texas: Summary level: 050, state:48> county:005",48.9,51.1,76.7,15.2,0.4,0.7,0.0,18.8,64.2,31100,8.1,7.7,14.4,14.3,15.9,17.0,11.0,7.9,2.1,1.5,13.3,2.64,78.0,15.9,30.8,69.2,85254,72.9,13.3,55.4,59.0,6.5,12.6,13.2,13.6,5.6,5.4,7.3,4.3,1.7,Angelina
"Aransas County, Texas: Summary level: 050, state:48> county:007",48.4,51.6,90.9,1.1,0.4,1.5,0.0,24.2,70.8,10056,8.2,8.7,13.7,9.6,16.0,18.6,8.9,9.9,3.0,3.4,13.1,2.29,85.2,23.9,25.7,74.3,23247,79.3,23.0,48.4,52.0,4.4,7.3,11.9,14.3,7.8,7.8,13.7,7.8,1.4,Aransas
"Archer County, Texas: Summary level: 050, state:48> county:009",50.7,49.3,96.5,0.7,0.0,1.2,0.0,6.9,90.7,3363,6.0,7.6,11.7,8.8,14.7,20.0,12.7,13.2,3.2,2.0,8.3,2.67,84.0,18.8,18.9,81.1,9055,74.7,15.8,59.8,61.6,5.0,9.3,12.4,17.6,6.4,5.6,9.3,4.5,2.0,Archer
"Armstrong County, Texas: Summary level: 050, state:48> county:011",49.1,50.9,97.1,0.9,0.8,0.0,0.1,9.2,88.8,706,6.2,5.4,10.2,8.4,12.2,24.8,16.9,11.9,3.4,0.7,4.9,2.6,91.5,25.9,18.0,82.0,1958,76.1,19.8,58.8,60.5,4.2,13.5,9.6,13.1,6.7,7.5,10.3,6.6,2.9,Armstrong
"Atascosa County, Texas: Summary level: 050, state:48> county:013",49.3,50.7,76.6,0.8,0.6,0.2,0.0,61.1,36.9,14521,10.1,5.4,13.0,12.9,14.5,21.4,10.6,8.7,1.5,2.0,15.3,3.0,73.8,11.0,24.2,75.8,44049,71.1,12.1,56.7,62.6,5.9,11.5,12.8,14.2,6.7,4.9,6.9,3.7,1.5,Atascosa
"Austin County, Texas: Summary level: 050, state:48> county:015",48.8,51.2,85.1,9.9,0.3,0.1,0.0,21.9,67.0,10447,8.1,3.9,11.2,10.2,12.6,20.3,11.2,14.4,4.4,3.7,5.7,2.65,81.2,17.9,22.5,77.5,27783,74.7,15.7,62.3,65.9,5.9,9.9,12.2,16.0,6.5,5.9,8.6,5.6,1.5,Austin
"Bailey County, Texas: Summary level: 050, state:48> county:017",50.9,49.1,85.9,5.9,0.1,0.0,0.0,44.1,49.9,2380,5.9,10.3,13.4,10.9,18.9,18.0,13.6,6.3,0.6,2.1,10.3,2.95,73.4,18.5,25.4,74.6,7027,69.9,11.6,59.7,62.2,6.9,10.1,7.5,14.4,7.3,5.7,6.9,3.6,1.1,Bailey
"Bandera County, Texas: Summary level: 050, state:48> county:019",49.2,50.8,94.0,0.6,0.5,0.4,0.1,16.0,81.5,8419,9.7,5.7,14.1,10.8,16.5,17.3,12.2,8.6,2.3,2.9,14.4,2.39,89.0,24.0,21.5,78.5,20265,79.5,19.1,53.2,56.0,4.0,7.6,11.8,18.6,9.1,7.8,11.7,5.9,1.5,Bandera
"Bastrop County, Texas: Summary level: 050, state:48> county:021",50.8,49.2,80.6,8.5,0.6,0.7,0.0,31.1,58.4,25214,5.7,4.8,11.7,9.8,16.2,21.3,13.1,13.1,2.3,2.0,9.8,2.79,80.6,17.9,21.0,79.0,72289,73.6,11.0,60.2,64.4,5.1,12.2,14.6,16.0,6.6,5.7,6.1,3.5,1.4,Bastrop
"Baylor County, Texas: Summary level: 050, state:48> county:023",44.9,55.1,92.9,1.1,0.0,0.4,0.0,13.6,84.4,1657,13.4,7.8,17.0,13.4,13.0,19.1,6.7,4.7,1.3,3.6,10.0,2.28,84.7,24.5,28.5,71.5,3795,77.0,23.0,51.4,55.0,2.6,7.6,11.0,12.3,8.1,9.4,10.7,10.6,1.7,Baylor
"Bee County, Texas: Summary level: 050, state:48> county:025",61.1,38.9,70.0,9.4,0.2,0.2,0.0,55.7,34.1,8485,12.0,10.1,11.7,11.8,16.8,16.1,9.9,6.1,3.6,2.0,15.9,2.65,69.5,9.2,33.0,67.0,31896,78.9,10.4,34.0,37.4,8.6,15.7,17.1,14.6,5.1,4.1,5.6,3.7,1.1,Bee
"Bell County, Texas: Summary level: 050, state:48> county:027",49.7,50.3,66.8,20.9,0.5,2.7,0.6,20.8,51.8,101433,7.0,4.7,10.8,12.1,16.7,21.9,12.1,9.9,2.5,2.2,11.2,2.8,88.6,21.2,41.8,58.2,294689,71.6,8.7,52.3,56.6,10.2,16.6,13.0,11.8,4.6,3.8,4.8,3.0,0.9,Bell
"Bexar County, Texas: Summary level: 050, state:48> county:029",48.9,51.1,71.9,7.3,0.7,2.3,0.1,58.1,31.1,580224,8.9,5.7,11.5,11.6,14.9,18.6,11.7,10.7,3.4,3.1,13.2,2.78,81.4,25.3,37.5,62.5,1650052,72.7,10.2,59.1,63.5,7.9,14.7,13.7,13.2,5.4,4.3,5.5,3.4,1.3,Bexar
"Blanco County, Texas: Summary level: 050, state:48> county:031",51.1,48.9,92.9,2.8,1.8,0.1,0.0,17.6,79.2,3935,5.1,5.1,11.8,14.3,17.4,12.0,13.6,12.8,3.6,4.4,7.4,2.56,88.3,25.4,17.4,82.6,10085,78.2,17.4,58.8,62.3,4.9,9.4,11.4,16.5,8.1,8.6,10.2,4.4,2.7,Blanco
"Borden County, Texas: Summary level: 050, state:48> county:033",61.2,38.8,100.0,0.0,0.0,0.0,0.0,19.7,80.3,244,0.0,6.1,12.7,9.4,14.3,21.7,7.4,9.4,7.0,11.9,3.7,2.31,85.1,19.1,37.3,62.7,564,77.0,22.3,64.6,66.8,7.8,4.4,19.5,14.7,3.5,4.3,9.4,12.6,0.4,Borden
"Bosque County, Texas: Summary level: 050, state:48> county:035",49.4,50.6,94.1,1.6,0.9,0.0,0.0,15.2,81.4,6732,6.2,7.1,14.9,11.2,17.2,19.6,13.1,7.6,1.7,1.3,10.7,2.55,80.1,14.8,24.6,75.4,18067,77.0,20.2,51.8,56.2,4.4,9.2,11.9,14.4,8.3,6.6,11.0,5.4,3.8,Bosque
"Bowie County, Texas: Summary level: 050, state:48> county:037",50.6,49.4,69.9,23.4,0.7,0.7,0.1,6.3,66.3,33573,11.1,6.2,13.5,10.9,15.2,19.3,10.2,8.5,2.8,2.4,12.7,2.6,83.5,18.1,33.4,66.6,91399,75.5,13.8,55.1,59.8,6.4,12.8,13.7,14.3,6.2,5.5,7.2,4.8,1.8,Bowie
"Brazoria County, Texas: Summary level: 050, state:48> county:039",50.9,49.1,74.6,11.7,0.4,5.1,0.0,26.8,55.1,101656,5.0,3.7,8.6,8.6,12.4,18.1,14.5,18.4,6.4,4.3,8.2,2.84,84.3,26.1,24.2,75.8,300522,72.2,9.3,61.5,65.0,5.7,14.0,15.5,15.0,5.6,4.4,5.5,2.8,1.0,Brazoria
